Metric,Model,variable name/grib code in model,Needs new calculation/postprocessing,CMIP physical parameter,CMIP7 name (CF standard name),Justification,Model
"Top-of-atmosphere radiative imbalance and albedo [rsdt, rsut, rlut] ",OIFS,"tisr NGRBTISR/212, tsr/178 (net: incoming-outgoing), NGRBTSR  - 178 Top solar radiation ",,rsdt,toa_incoming_shortwave_flux,Interpretation of the evolving energy input into the system,
,,,,rsut,toa_outgoing_shortwave_flux,,
,,,,rlut,toa_outgoing_longwave_flux,,
Global mean SST [tos],Fesom,"sst (Fesom), NGRBSSTK  - 34 Sea surface temperature (OIFS)",,,tos,,SST stability is essential
"Ocean heat content – upper and lower if possible [thetaoga, bigthetaoga]",Fesom,"hc [J m**-2] (require ldiag_destine=.true.), temp [C]",yes???,thetaoga,sea_water_potential_temperature [K],"To first order, TOA and ocean heat content change should balance. Upper and lower ocean heat content is preferable – if not total.",
,Fesom,???,yes???,bigthetaoga,sea_water_conservative_temperature [K],,
Total ocean salt content [soga],Fesom,salt [psu] (salinity),no???,soga,sea_water_salinity [1e-3] ,Check that the ocean is conserving salt,
"Total ocean mass and volume [masscello, volcello]",Fesom,???,,masscello,sea_water_mass_per_unit_area,,
,Fesom,???,,volcello,ocean_volume,,
"Net surface heat flux (into ocean) [hfds, hfcorr]",Fesom,fh or qso  [W/m^2],,hfds,surface_downward_heat_flux_in_sea_water [W m-2] ,Check with TOA and heat content (but need to think about ice),
,,,,hfcorr,???,,
Net surface freshwater flux into ocean and/or global mean precipitation,Fesom,fw [m/s] ,,,,Check with ocean volume (but need to think about ice),
,Fesom,"prec, snow [m/s]",,,,,
"Northern and Southern Hemisphere sea ice volume/mass min and max [sivoln, sivols]",Fesom,"a_ice,m_ice??? ",,sivoln,sea_ice_volume,,
,,,,sivols,sea_ice_volume,,
"AMOC [msftyrho, msftyz]",Fesom,,,msftyrho,ocean_y_overturning_mass_streamfunction,Maximum of MOC in Atlantic,
,,,,msftyz,ocean_y_overturning_mass_streamfunction,,
"Global mean albedo [rsdt, rsut]",OIFS,NGRBFAL  - 243 Forecast albedo,,rsdt,toa_incoming_shortwave_flux,,
,,,,rsut,toa_outgoing_shortwave_flux,,
Snow cover – total area? [sncls],Fesom,m_snow???,,sncls sncIs???,surface_snow_area_fraction ???,,
CO2mass,OIFS,,,co2mass,atmosphere_mass_of_carbon_dioxide,Integral of atmospheric CO2 concentration,
Net carbon flux atmosphere–ocean (global integral fgco2),OIFS,,,fgco2,surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon,"Understand if any remaining C relocation between the reservoirs is present at the end of spin-up, can be calculated from deltas from total land/ocean/permafrost carbon pools. This can be further detailed; e.g., land carbon can be distinct between soil/vegetation/permafrost, ocean carbon can be distinct between DIC/DOC/POC/surface ocean/deep ocean.",
Net carbon flux atmosphere–land (nbp),OIFS,,,nbp,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,This may need to be derived if terms like fire and land use are treated separately,
Net permafrost carbon flux,LPJ-Guess???,,,???,???,,
"Sediment weathering flux / riverine C flux (icriver, ocriver, fric, froc)",,,,icriver  icfriver???,tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_runoff_and_sediment_dissolution???,Necessary for mass balance within the ocean. There are separate terms for inorganic and organic carbon,
,,,,ocriver  ocfriver???, tendency_of_ocean_mole_content_of_organic_carbon_due_to_runoff_and_sediment_dissolution ???,,
,,,,fric,minus_tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_sedimentation,,
,,,,froc,minus_tendency_of_ocean_mole_content_of_organic_carbon_due_to_sedimentation,,
Diagnosed CO2 emissions,,,,???,???,"In case of CO2 concentration or emissions driven spin-up, respectively, to assess the total C balance of the model.",
intCVeg,LPJ-Guess???,,,cVeg,vegetation_carbon_content,Integral of carbon in vegetation (three of these four land carbon metrics would be useful to track drift in stocks),
IntCsoil *,LPJ-Guess???,,,cSoil,soil_mass_content_of_carbon,Integral of carbon in soil,
intCLitter,LPJ-Guess???,,,cLitter,litter_mass_content_of_carbon,Integral of carbon in litter,
intCLand,LPJ-Guess???,,,cLand,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Integral of carbon on Land,
intdic,,,,intdic,ocean_mass_content_of_dissolved_inorganic_carbon,Integral dissolved inorganic carbon concentration,
intCProduct,,,,,,Integral of harvested Carbon from land use (cLand = cVeg + cLitter + cSoil + cProduct),
intAlk,,Alkalini,,,,Integral dissolved alkalinity concentration,
intO2,,O2f [mmolO/m2/d] ,,O2 ???,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water [mol m-3],Integral dissolved oxygen concentration,
intNO3,Fesom,NO3,,No3 ???,mole_concentration_of_nitrate_in_sea_water [mol m-3],Integral dissolved nitrate concentration,
Total water storage,,,,,,"Sum of snow water equivalent and soil moisture in all layers, useful to track drift in water budget",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Reference: J. P. Dunne et al., https://doi.org/10.5194/gmd-18-6671-2025 table A1",,,,,,,
