,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
270,atmosChem.cfc11.tavg-u-hm-air.mon.glb,mon,atmosChem,mole_fraction_of_cfc11_in_air,1E-12,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),,Global Mean Mole Fraction of CFC11,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC11 is CFCl3.  The IUPAC name for CFC11 is trichloro-fluoro-methane.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",time,cfc11,real,,na-na,time-intv,Amon,cfc11global,cfc11,tavg-u-hm-air,cfc11_tavg-u-hm-air,glb,Amon.cfc11global,atmosChem.cfc11.tavg-u-hm-air.mon.glb,baa9918c-e5dd-11e5-8482-ac72891c3257,high,,
271,atmosChem.cfc113.tavg-u-hm-air.mon.glb,mon,atmosChem,mole_fraction_of_cfc113_in_air,1E-12,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),,Global Mean Mole Fraction of CFC113,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC113 is CCl2FCClF2.  The IUPAC name for CFC113 is 1, 1, 2-trichloro-1, 2, 2-trifluoro-ethane.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",time,cfc113,real,,na-na,time-intv,Amon,cfc113global,cfc113,tavg-u-hm-air,cfc113_tavg-u-hm-air,glb,Amon.cfc113global,atmosChem.cfc113.tavg-u-hm-air.mon.glb,baa98b1a-e5dd-11e5-8482-ac72891c3257,high,,
272,atmosChem.cfc12.tavg-u-hm-air.mon.glb,mon,atmosChem,mole_fraction_of_cfc12_in_air,1E-12,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),,Global Mean Mole Fraction of CFC12,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC12 is CF2Cl2.  The IUPAC name for CFC12 is dichloro-difluoro-methane.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",time,cfc12,real,,na-na,time-intv,Amon,cfc12global,cfc12,tavg-u-hm-air,cfc12_tavg-u-hm-air,glb,Amon.cfc12global,atmosChem.cfc12.tavg-u-hm-air.mon.glb,baa99736-e5dd-11e5-8482-ac72891c3257,high,,
274,atmosChem.ch4.tavg-p19-hxy-air.mon.glb,mon,atmosChem,mole_fraction_of_methane_in_air,mol mol-1,area: time: mean where air,area: areacella,Mole Fraction of CH4,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If CH4 is spatially uniform, omit this field, but report Global Mean Mole Fraction of CH4 (see the table entry after the next one).   Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,ch4,real,,XY-P19,time-intv,Amon,ch4,ch4,tavg-p19-hxy-air,ch4_tavg-p19-hxy-air,glb,Amon.ch4,atmosChem.ch4.tavg-p19-hxy-air.mon.glb,baa9d642-e5dd-11e5-8482-ac72891c3257,high,,
275,atmosChem.ch4.tavg-u-hm-air.mon.glb,mon,atmosChem,mole_fraction_of_methane_in_air,1E-09,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),,Global Mean Mole Fraction of CH4,Global Mean Mole Fraction of CH4,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If CH4 is spatially nonuniform, omit this field, but report Mole Fraction of CH4 (see the table entry before the previous one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",time,ch4,real,,na-na,time-intv,Amon,ch4global,ch4,tavg-u-hm-air,ch4_tavg-u-hm-air,glb,Amon.ch4global,atmosChem.ch4.tavg-u-hm-air.mon.glb,baa9e22c-e5dd-11e5-8482-ac72891c3257,high,,
276,atmosChem.ch4.tclm-p19-hxy-air.mon.glb,mon,atmosChem,mole_fraction_of_methane_in_air,mol mol-1,area: mean where air time: mean within years time: mean over years,area: areacella,Mole Fraction of CH4,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","Report only for simulations (e.g., prescribed concentration pi-control run), in which the CH4 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally.  When calling CMOR, identify this variable as ch4global, not ch4.   If  CH4 is spatially uniform, omit this field, but report Global Mean Mole Fraction of CH4 (see the table entry after the next).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:area: mean where air time: mean within years time: mean over years,",longitude latitude plev19 time2,ch4,real,,XY-P19,climatology,Amon,ch4,ch4,tclm-p19-hxy-air,ch4_tclm-p19-hxy-air,glb,Amon.ch4Clim,atmosChem.ch4.tclm-p19-hxy-air.mon.glb,a92e26e4-817c-11e6-a4e2-5404a60d96b5,high,,
277,atmosChem.ch4.tclm-u-hm-air.mon.glb,mon,atmosChem,mole_fraction_of_methane_in_air,mol mol-1,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),,Global Mean Mole Fraction of CH4,Global Mean Mole Fraction of CH4,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the CH4 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally.  When calling CMOR, identify this variable as ch4globalClim, not ch4global.  If CH4 is spatially nonuniform, omit this field, but report Global Mean Mole Fraction of CH4 (see the table entry before the previous one).   Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Units (from Physical Parameter) - CMIP6:1.00E-09 CMIP7:mol mol-1, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",time2,ch4,real,,na-na,climatology,Amon,ch4,ch4,tclm-u-hm-air,ch4_tclm-u-hm-air,glb,Amon.ch4globalClim,atmosChem.ch4.tclm-u-hm-air.mon.glb,a92e3b16-817c-11e6-a4e2-5404a60d96b5,high,,
280,atmosChem.hcfc22.tavg-u-hm-air.mon.glb,mon,atmosChem,mole_fraction_of_hcfc22_in_air,1E-12,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),,Global Mean Mole Fraction of HCFC22,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for HCFC22 is CHClF2.  The IUPAC name for HCFC22 is chloro-difluoro-methane.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",time,hcfc22,real,,na-na,time-intv,Amon,hcfc22global,hcfc22,tavg-u-hm-air,hcfc22_tavg-u-hm-air,glb,Amon.hcfc22global,atmosChem.hcfc22.tavg-u-hm-air.mon.glb,baaeaf1e-e5dd-11e5-8482-ac72891c3257,high,,
281,atmosChem.n2o.tavg-al-hxy-u.mon.glb,mon,atmosChem,mole_fraction_of_nitrous_oxide_in_air,mol mol-1,area: time: mean,area: areacella,Mole Fraction of N2O,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.",,longitude latitude alevel time,n2o,real,,XY-A,time-intv,AERmon,n2o,n2o,tavg-al-hxy-u,n2o_tavg-al-hxy-u,glb,AERmon.n2o,atmosChem.n2o.tavg-al-hxy-u.mon.glb,19bfccbc-81b1-11e6-92de-ac72891c3257,high,,
282,atmosChem.n2o.tavg-p19-hxy-air.mon.glb,mon,atmosChem,mole_fraction_of_nitrous_oxide_in_air,mol mol-1,area: time: mean where air,area: areacella,Mole Fraction of N2O,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.","For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If N2O is spatially uniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry after the next one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,n2o,real,,XY-P19,time-intv,Amon,n2o,n2o,tavg-p19-hxy-air,n2o_tavg-p19-hxy-air,glb,Amon.n2o,atmosChem.n2o.tavg-p19-hxy-air.mon.glb,bab2124e-e5dd-11e5-8482-ac72891c3257,high,,
