,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
0,aerosol.abs550aer.tavg-u-hxy-u.mon.glb,mon,aerosol,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,1,area: time: mean,area: areacella,Ambient Aerosol Absorption Optical Thickness at 550nm,Optical thickness of atmospheric aerosols at wavelength 550 nanometers.,,longitude latitude time lambda550nm,abs550aer,real,,XY-na,time-intv,AERmon,abs550aer,abs550aer,tavg-u-hxy-u,abs550aer_tavg-u-hxy-u,glb,AERmon.abs550aer,aerosol.abs550aer.tavg-u-hxy-u.mon.glb,19bebf2a-81b1-11e6-92de-ac72891c3257,,,
1,aerosol.bry.tavg-p39-hy-air.mon.glb,mon,aerosol,mole_fraction_of_inorganic_bromine_in_air,mol mol-1,longitude: time: mean where air,,Total Inorganic Bromine Volume Mixing Ratio,"Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Bry = Br + BrO + HOBr + HBr + BrONO2 + BrCl Definition: Total inorganic bromine (e.g., HBr and inorganic bromine oxides and radicals (e.g., BrO, atomic bromine (Br), bromine nitrate (BrONO2)) resulting from degradation of bromine-containing organicsource gases (halons, methyl bromide, VSLS), and natural inorganic bromine sources (e.g., volcanoes, sea salt, and other aerosols) add comment attribute with detailed description about how the model calculates these fields","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",latitude plev39 time,bry,real,,Y-P39,time-intv,AERmonZ,bry,bry,tavg-p39-hy-air,bry_tavg-p39-hy-air,glb,AERmonZ.bry,aerosol.bry.tavg-p39-hy-air.mon.glb,fda68dc6-96ec-11e6-b81e-c9e268aff03a,high,,
3,aerosol.cdnc.tavg-al-hxy-u.mon.glb,mon,aerosol,number_concentration_of_cloud_liquid_water_particles_in_air,m-3,area: time: mean,area: areacella,Cloud Liquid Droplet Number Concentration,Cloud Droplet Number Concentration in liquid water clouds.,,longitude latitude alevel time,cdnc,real,,XY-A,time-intv,AERmon,cdnc,cdnc,tavg-al-hxy-u,cdnc_tavg-al-hxy-u,glb,AERmon.cdnc,aerosol.cdnc.tavg-al-hxy-u.mon.glb,19be52f6-81b1-11e6-92de-ac72891c3257,high,,
4,aerosol.cfc114.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_cfc114_in_air,mol mol-1,area: time: mean,area: areacella,Mole Fraction of CFC114,Mole fraction of cfc114 in air,,longitude latitude alevel time,cfc114,real,,XY-A,time-intv,AERmon,cfc114,cfc114,tavg-al-hxy-u,cfc114_tavg-al-hxy-u,glb,AERmon.cfc114,aerosol.cfc114.tavg-al-hxy-u.mon.glb,80ab720e-a698-11ef-914a-613c0433d878,high,,
5,aerosol.cly.tavg-p39-hy-air.mon.glb,mon,aerosol,mole_fraction_of_inorganic_chlorine_in_air,mol mol-1,longitude: time: mean where air,,Total Inorganic Chlorine Volume Mixing Ratio,"Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Cly = HCl + ClONO2 + HOCl + ClO + Cl + 2\*Cl2O2 +2Cl2 + OClO + BrCl Definition: Total inorganic stratospheric chlorine (e.g., HCl, ClO) resulting from degradation of chlorine-containing source gases (CFCs, HCFCs, VSLS), and natural inorganic chlorine sources (e.g., sea salt and other aerosols) add comment attribute with detailed description about how the model calculates these fields","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",latitude plev39 time,cly,real,,Y-P39,time-intv,AERmonZ,cly,cly,tavg-p39-hy-air,cly_tavg-p39-hy-air,glb,AERmonZ.cly,aerosol.cly.tavg-p39-hy-air.mon.glb,fda6e992-96ec-11e6-b81e-c9e268aff03a,high,,
7,aerosol.drydust.tavg-u-hxy-u.mon.glb,mon,aerosol,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,area: time: mean,area: areacella,Dry Deposition Rate of Dust,Dry Deposition Rate of Dust,,longitude latitude time,drydust,real,,XY-na,time-intv,AERmon,drydust,drydust,tavg-u-hxy-u,drydust_tavg-u-hxy-u,glb,AERmon.drydust,aerosol.drydust.tavg-u-hxy-u.mon.glb,19c064c4-81b1-11e6-92de-ac72891c3257,high,,
8,aerosol.hcfc22.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_hcfc22_in_air,mol mol-1,area: time: mean,area: areacella,Mole Fraction of HCFC22,This is the mole fraction of HCFC22 in air,,longitude latitude alevel time,hcfc22,real,,XY-A,time-intv,AERmon,hcfc22,hcfc22,tavg-al-hxy-u,hcfc22_tavg-al-hxy-u,glb,AERmon.hcfc22,aerosol.hcfc22.tavg-al-hxy-u.mon.glb,80ab720b-a698-11ef-914a-613c0433d878,high,,
9,aerosol.hcl.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_hydrogen_chloride_in_air,mol mol-1,area: time: mean,area: areacella,HCl Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hydrogen chloride is HCl.",,longitude latitude alevel time,hcl,real,,XY-A,time-intv,AERmon,hcl,hcl,tavg-al-hxy-u,hcl_tavg-al-hxy-u,glb,AERmon.hcl,aerosol.hcl.tavg-al-hxy-u.mon.glb,19bede74-81b1-11e6-92de-ac72891c3257,high,,
10,aerosol.hfc125.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_hfc125_in_air,mol mol-1,area: time: mean,area: areacella,Mole Fraction of HFC125,This is the mole fraction of HFC125 in air,,longitude latitude alevel time,hfc125,real,,XY-A,time-intv,AERmon,hfc125,hfc125,tavg-al-hxy-u,hfc125_tavg-al-hxy-u,glb,AERmon.hfc125,aerosol.hfc125.tavg-al-hxy-u.mon.glb,80ab720c-a698-11ef-914a-613c0433d878,high,,
11,aerosol.hfc134a.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_hfc134a_in_air,mol mol-1,area: time: mean,area: areacella,Mole Fraction of HFC134a,This is the mole fraction of HFC134a in air,,longitude latitude alevel time,hfc134a,real,,XY-A,time-intv,AERmon,hfc134a,hfc134a,tavg-al-hxy-u,hfc134a_tavg-al-hxy-u,glb,AERmon.hfc134a,aerosol.hfc134a.tavg-al-hxy-u.mon.glb,80ab720d-a698-11ef-914a-613c0433d878,high,,
12,aerosol.hno3.tavg-al-hxy-u.mon.glb,mon,aerosol,mole_fraction_of_nitric_acid_in_air,mol mol-1,area: time: mean,area: areacella,HNO3 Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",,longitude latitude alevel time,hno3,real,,XY-A,time-intv,AERmon,hno3,hno3,tavg-al-hxy-u,hno3_tavg-al-hxy-u,glb,AERmon.hno3,aerosol.hno3.tavg-al-hxy-u.mon.glb,19bf7a5a-81b1-11e6-92de-ac72891c3257,high,,
