,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
35,atmos.albisccp.tavg-u-hxy-cl.day.glb,day,atmos,cloud_albedo,1,area: time: mean where cloud (weighted by ISCCP total cloud area),area: areacella,ISCCP Mean Cloud Albedo,Time-means are weighted by the ISCCP Total Cloud Fraction - see  <https://www.cfmip.org/tools-and-data/cosp>. Values will be missing where there are no clouds or no sunlight.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where cloud CMIP7:area: time: mean where cloud (weighted by ISCCP total cloud area),",longitude latitude time,albisccp,real,,XY-na,time-intv,CFday,albisccp,albisccp,tavg-u-hxy-cl,albisccp_tavg-u-hxy-cl,glb,CFday.albisccp,atmos.albisccp.tavg-u-hxy-cl.day.glb,baa8144c-e5dd-11e5-8482-ac72891c3257,high,,
36,atmos.albisccp.tavg-u-hxy-cl.mon.glb,mon,atmos,cloud_albedo,1,area: time: mean where cloud (weighted by ISCCP total cloud area),area: areacella,ISCCP Mean Cloud Albedo,Time-means are weighted by the ISCCP Total Cloud Fraction - see  <https://www.cfmip.org/tools-and-data/cosp>. Values will be missing where there are no clouds or no sunlight.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where cloud CMIP7:area: time: mean where cloud (weighted by ISCCP total cloud area),",longitude latitude time,albisccp,real,,XY-na,time-intv,CFmon,albisccp,albisccp,tavg-u-hxy-cl,albisccp_tavg-u-hxy-cl,glb,CFmon.albisccp,atmos.albisccp.tavg-u-hxy-cl.mon.glb,baa817c6-e5dd-11e5-8482-ac72891c3257,high,,
38,atmos.ccb.tavg-u-hxy-ccl.day.glb,day,atmos,air_pressure_at_convective_cloud_base,Pa,area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,Air Pressure at Convective Cloud Base,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where convective_cloud (weighted by total convective cloud area),",longitude latitude time,ccb,real,,XY-na,time-intv,CFday,ccb,ccb,tavg-u-hxy-ccl,ccb_tavg-u-hxy-ccl,glb,CFday.ccb,atmos.ccb.tavg-u-hxy-ccl.day.glb,baa929ea-e5dd-11e5-8482-ac72891c3257,high,,
39,atmos.ccb.tavg-u-hxy-ccl.mon.glb,mon,atmos,air_pressure_at_convective_cloud_base,Pa,area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,Air Pressure at Convective Cloud Base,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where convective_cloud (weighted by total convective cloud area),",longitude latitude time,ccb,real,,XY-na,time-intv,Amon,ccb,ccb,tavg-u-hxy-ccl,ccb_tavg-u-hxy-ccl,glb,Amon.ccb,atmos.ccb.tavg-u-hxy-ccl.mon.glb,baa92652-e5dd-11e5-8482-ac72891c3257,high,,
40,atmos.cct.tavg-u-hxy-ccl.day.glb,day,atmos,air_pressure_at_convective_cloud_top,Pa,area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,Air Pressure at Convective Cloud Top,"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where convective_cloud (weighted by total convective cloud area),",longitude latitude time,cct,real,,XY-na,time-intv,CFday,cct,cct,tavg-u-hxy-ccl,cct_tavg-u-hxy-ccl,glb,CFday.cct,atmos.cct.tavg-u-hxy-ccl.day.glb,baa96d92-e5dd-11e5-8482-ac72891c3257,high,,
41,atmos.cct.tavg-u-hxy-ccl.mon.glb,mon,atmos,air_pressure_at_convective_cloud_top,Pa,area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,Air Pressure at Convective Cloud Top,"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where convective_cloud (weighted by total convective cloud area),",longitude latitude time,cct,real,,XY-na,time-intv,Amon,cct,cct,tavg-u-hxy-ccl,cct_tavg-u-hxy-ccl,glb,Amon.cct,atmos.cct.tavg-u-hxy-ccl.mon.glb,baa96a0e-e5dd-11e5-8482-ac72891c3257,high,,
42,atmos.ci.tavg-u-hxy-u.mon.glb,mon,atmos,convection_time_fraction,1,area: time: mean,area: areacella,Fraction of Time Convection Occurs in Cell,"Fraction of time that convection occurs in the grid cell. If native cell data is regridded, the area-weighted mean of the contributing cells should be reported.",,longitude latitude time,ci,real,,XY-na,time-intv,Amon,ci,ci,tavg-u-hxy-u,ci_tavg-u-hxy-u,glb,Amon.ci,atmos.ci.tavg-u-hxy-u.mon.glb,baaa3984-e5dd-11e5-8482-ac72891c3257,high,,
43,atmos.cl.tavg-al-hxy-u.mon.glb,mon,atmos,cloud_area_fraction_in_atmosphere_layer,%,area: time: mean,area: areacella,Percentage Cloud Cover,Includes both large-scale and convective cloud.,Report on model layers (not standard pressures).,longitude latitude alevel time,cl,real,,XY-A,time-intv,Amon,cl,cl,tavg-al-hxy-u,cl_tavg-al-hxy-u,glb,Amon.cl,atmos.cl.tavg-al-hxy-u.mon.glb,baaa4302-e5dd-11e5-8482-ac72891c3257,core,,
44,atmos.clc.tavg-al-hxy-u.mon.glb,mon,atmos,convective_cloud_area_fraction_in_atmosphere_layer,%,area: time: mean,area: areacella,Convective Cloud Area Percentage,Include only convective cloud.,,longitude latitude alevel time,clc,real,,XY-A,time-intv,CFmon,clc,clc,tavg-al-hxy-u,clc_tavg-al-hxy-u,glb,CFmon.clc,atmos.clc.tavg-al-hxy-u.mon.glb,baaa557c-e5dd-11e5-8482-ac72891c3257,high,,
45,atmos.clcalipso.tavg-220hPa-hxy-air.day.glb,day,atmos,cloud_area_fraction_in_atmosphere_layer,%,area: time: mean where air,area: areacella,CALIPSO High Level Cloud Area Percentage,Percentage cloud cover in layer centred on 220hPa,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where air,",longitude latitude time p220,clcalipso,real,,XY-na,time-intv,CFday,clhcalipso,clcalipso,tavg-220hPa-hxy-air,clcalipso_tavg-220hPa-hxy-air,glb,CFday.clhcalipso,atmos.clcalipso.tavg-220hPa-hxy-air.day.glb,baaa766a-e5dd-11e5-8482-ac72891c3257,high,,
