,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
290,land.baresoilFrac.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Bare Soil Percentage Area Coverage,Percentage of entire grid cell  that is covered by bare soil.,"Note that if this variable is independent of time, it should be stored only for a single time (user choice). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typebare,baresoilFrac,real,,XY-na,time-intv,Lmon,baresoilFrac,baresoilFrac,tavg-u-hxy-u,baresoilFrac_tavg-u-hxy-u,glb,Lmon.baresoilFrac,land.baresoilFrac.tavg-u-hxy-u.mon.glb,baa84fd4-e5dd-11e5-8482-ac72891c3257,high,,
291,land.burntFractionAll.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),Percentage of grid cell burned due to all fires including natural and anthropogenic fires and those associated with anthropogenic land use change,"Note that if this variable is independent of time, it should be stored only for a single time (user choice).CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typeburnt,burntFractionAll,real,,XY-na,time-intv,Lmon,burntFractionAll,burntFractionAll,tavg-u-hxy-u,burntFractionAll_tavg-u-hxy-u,glb,Lmon.burntFractionAll,land.burntFractionAll.tavg-u-hxy-u.mon.glb,baa88256-e5dd-11e5-8482-ac72891c3257,high,,
292,land.cGeologicStorage.tavg-u-hxy-u.mon.glb,mon,land,carbon_mass_content_of_geological_storage,kg m-2,area: time: mean,area: areacella,Carbon Mass in Geologic Storage,Mass of carbon that has been intentionally sequestered in geologic storage. The definition of geologic storage here is that it be stored for periods of time that are long as compared to the simulation.,"This variable should only contain carbon that is stored through processes that are represented by the Earth system model itself, not carbon that is stored solely on the basis of a forcing dataset. For example, if an ESM represents biomass energy with carbon capture and storage (BECCS) as a prognostic process, then the resulting carbon storage would be included here; whereas if a process like direct air capture (DAC) is represented solely as a negative carbon emissions flux in the scenario forcing dataset, then it would not be included here.",longitude latitude time,cGeologicStorage,real,,XY-na,time-intv,Lmon,cGeologicStorage,cGeologicStorage,tavg-u-hxy-u,cGeologicStorage_tavg-u-hxy-u,glb,Lmon.cGeologicStorage,land.cGeologicStorage.tavg-u-hxy-u.mon.glb,80ab72a0-a698-11ef-914a-613c0433d878,high,,
293,land.cLand.tavg-u-hxy-lnd.mon.glb,mon,land,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,area: mean where land time: mean,area: areacella,Total Carbon in All Terrestrial Carbon Pools,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,,longitude latitude time,cLand,real,,XY-na,time-intv,Emon,cLand,cLand,tavg-u-hxy-lnd,cLand_tavg-u-hxy-lnd,glb,Emon.cLand,land.cLand.tavg-u-hxy-lnd.mon.glb,8b7eded4-4a5b-11e6-9cd2-ac72891c3257,high,,
294,land.cLeaf.tavg-u-hxy-lnd.mon.glb,mon,land,leaf_mass_content_of_carbon,kg m-2,area: mean where land time: mean,area: areacella,Carbon Mass in Leaves,Carbon mass per unit area in leaves.,,longitude latitude time,cLeaf,real,,XY-na,time-intv,Lmon,cLeaf,cLeaf,tavg-u-hxy-lnd,cLeaf_tavg-u-hxy-lnd,glb,Lmon.cLeaf,land.cLeaf.tavg-u-hxy-lnd.mon.glb,baa8aed4-e5dd-11e5-8482-ac72891c3257,high,,
295,land.cLitter.tavg-u-hxy-lnd.mon.glb,mon,land,litter_mass_content_of_carbon,kg m-2,area: mean where land time: mean,area: areacella,Carbon Mass in Litter Pool,"""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Content"" indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.",,longitude latitude time,cLitter,real,,XY-na,time-intv,Lmon,cLitter,cLitter,tavg-u-hxy-lnd,cLitter_tavg-u-hxy-lnd,glb,Lmon.cLitter,land.cLitter.tavg-u-hxy-lnd.mon.glb,baa8b67c-e5dd-11e5-8482-ac72891c3257,high,,
296,land.cLitterCwd.tavg-u-hxy-lnd.mon.glb,mon,land,wood_debris_mass_content_of_carbon,kg m-2,area: mean where land time: mean,area: areacella,Carbon Mass in Coarse Woody Debris,"""Content"" indicates a quantity per unit area. ""Wood debris"" means dead organic matter composed of coarse wood. It is distinct from fine litter. The precise distinction between ""fine"" and ""coarse"" is model dependent.",,longitude latitude time,cLitterCwd,real,,XY-na,time-intv,Emon,cLitterCwd,cLitterCwd,tavg-u-hxy-lnd,cLitterCwd_tavg-u-hxy-lnd,glb,Emon.cLitterCwd,land.cLitterCwd.tavg-u-hxy-lnd.mon.glb,8b8172de-4a5b-11e6-9cd2-ac72891c3257,medium,,
297,land.cLitterSubSurf.tavg-u-hxy-lnd.mon.glb,mon,land,subsurface_litter_mass_content_of_carbon,kg m-2,area: mean where land time: mean,area: areacella,Carbon Mass in Below-Ground Litter,subsurface litter pool fed by root inputs.,,longitude latitude time,cLitterSubSurf,real,,XY-na,time-intv,Emon,cLitterSubSurf,cLitterSubSurf,tavg-u-hxy-lnd,cLitterSubSurf_tavg-u-hxy-lnd,glb,Emon.cLitterSubSurf,land.cLitterSubSurf.tavg-u-hxy-lnd.mon.glb,8b817e0a-4a5b-11e6-9cd2-ac72891c3257,medium,,
298,land.cLitterSurf.tavg-u-hxy-lnd.mon.glb,mon,land,surface_litter_mass_content_of_carbon,kg m-2,area: mean where land time: mean,area: areacella,Carbon Mass in Above-Ground Litter,Surface or near-surface litter pool fed by leaf and above-ground litterfall,,longitude latitude time,cLitterSurf,real,,XY-na,time-intv,Emon,cLitterSurf,cLitterSurf,tavg-u-hxy-lnd,cLitterSurf_tavg-u-hxy-lnd,glb,Emon.cLitterSurf,land.cLitterSurf.tavg-u-hxy-lnd.mon.glb,8b817892-4a5b-11e6-9cd2-ac72891c3257,medium,,
299,land.cOther.tavg-u-hxy-lnd.mon.glb,mon,land,miscellaneous_living_matter_mass_content_of_carbon,kg m-2,area: mean where land time: mean,area: areacella,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots","E.g. fruits, seeds, etc.",,longitude latitude time,cOther,real,,XY-na,time-intv,Emon,cOther,cOther,tavg-u-hxy-lnd,cOther_tavg-u-hxy-lnd,glb,Emon.cOther,land.cOther.tavg-u-hxy-lnd.mon.glb,8b816d2a-4a5b-11e6-9cd2-ac72891c3257,medium,,
300,land.cProduct.tavg-u-hxy-lnd.mon.glb,mon,land,carbon_mass_content_of_forestry_and_agricultural_products,kg m-2,area: mean where land time: mean,area: areacella,Carbon Mass in Products of Land-Use Change,Carbon mass per unit area in that has been removed from the environment through  land use change.,,longitude latitude time,cProduct,real,,XY-na,time-intv,Lmon,cProduct,cProduct,tavg-u-hxy-lnd,cProduct_tavg-u-hxy-lnd,glb,Lmon.cProduct,land.cProduct.tavg-u-hxy-lnd.mon.glb,baa8d49a-e5dd-11e5-8482-ac72891c3257,high,,
