,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
395,ocean.areacello.ti-u-hxy-u.fx.glb,fx,ocean,cell_area,m2,area: sum,,Grid-Cell Area for Ocean Variables,"Cell areas for any grid used to report ocean variables and variables which are requested as used on the model ocean grid (e.g. hfsso, which is a downward heat flux from the atmosphere interpolated onto the ocean grid). These cell areas should be defined to enable exact calculation of global integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).","For oceans with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",longitude latitude,areacello,real,,XY-na,None,Ofx,areacello,areacello,ti-u-hxy-u,areacello_ti-u-hxy-u,glb,Ofx.areacello,ocean.areacello.ti-u-hxy-u.fx.glb,baa3ee94-e5dd-11e5-8482-ac72891c3257,core,,
396,ocean.basin.ti-u-hxy-u.fx.glb,fx,ocean,region,1,area: mean,area: areacello,Region Selection Index,A variable with the standard name of region contains strings which indicate geographical regions. These strings must be chosen from the standard region list.,A variable with the standard name of region contains either strings which indicate a geographical region or flags which can be translated to strings using flag_values and flag_meanings attributes. These strings are standardised. Values must be taken from the CF standard region list. Report on the same grid as the temperature field. CHANGE: Flag values and meanings are in dedicated fields 'Flag values' and 'Flag meanings'. ISSUE: may not be easily machine processed.,longitude latitude,basin,integer,,XY-na,None,Ofx,basin,basin,ti-u-hxy-u,basin_ti-u-hxy-u,glb,Ofx.basin,ocean.basin.ti-u-hxy-u.fx.glb,baa3f718-e5dd-11e5-8482-ac72891c3257,core,0 1 2 3 4 5 6 7 8 9 10,global_land southern_ocean atlantic_ocean pacific_ocean arctic_ocean indian_ocean mediterranean_sea black_sea hudson_bay baltic_sea red_sea
397,ocean.bigthetao.tavg-ol-hxy-sea.mon.glb,mon,ocean,sea_water_conservative_temperature,degC,area: mean where sea time: mean,area: areacello volume: volcello,Sea Water Conservative Temperature,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,,longitude latitude olevel time,bigthetao,real,,XY-O,time-intv,Omon,bigthetao,bigthetao,tavg-ol-hxy-sea,bigthetao_tavg-ol-hxy-sea,glb,Omon.bigthetao,ocean.bigthetao.tavg-ol-hxy-sea.mon.glb,baa5255c-e5dd-11e5-8482-ac72891c3257,core,,
398,ocean.deptho.ti-u-hxy-sea.fx.glb,fx,ocean,sea_floor_depth_below_geoid,m,area: mean where sea,area: areacello,Sea Floor Depth Below Geoid,Ocean bathymetry. Reported here is the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells.,Save both native and spherical.,longitude latitude,deptho,real,,XY-na,None,Ofx,deptho,deptho,ti-u-hxy-sea,deptho_ti-u-hxy-sea,glb,Ofx.deptho,ocean.deptho.ti-u-hxy-sea.fx.glb,baa3e4d0-e5dd-11e5-8482-ac72891c3257,core,,
399,ocean.ficeberg.tavg-ol-hxy-sea.mon.glb,mon,ocean,water_flux_into_sea_water_from_icebergs,kg m-2 s-1,area: mean where sea time: mean,area: areacello volume: volcello,Water Flux into Sea Water from Icebergs,computed as the iceberg melt water  flux into the ocean divided by the area of the ocean portion of the grid cell.,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,ficeberg,real,,XY-O,time-intv,Omon,ficeberg,ficeberg,tavg-ol-hxy-sea,ficeberg_tavg-ol-hxy-sea,glb,Omon.ficeberg,ocean.ficeberg.tavg-ol-hxy-sea.mon.glb,baa628c6-e5dd-11e5-8482-ac72891c3257,high,,
400,ocean.friver.tavg-u-hxy-sea.mon.glb,mon,ocean,water_flux_into_sea_water_from_rivers,kg m-2 s-1,area: mean where sea time: mean,area: areacello,Water Flux into Sea Water from Rivers,computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.,,longitude latitude time,friver,real,,XY-na,time-intv,Omon,friver,friver,tavg-u-hxy-sea,friver_tavg-u-hxy-sea,glb,Omon.friver,ocean.friver.tavg-u-hxy-sea.mon.glb,baa6247a-e5dd-11e5-8482-ac72891c3257,high,,
401,ocean.hfbasin.tavg-u-hyb-sea.mon.glb,mon,ocean,northward_ocean_heat_transport,W,depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,,Northward Ocean Heat Transport,"Contains contributions from all physical processes affecting the northward heat transport, including resolved advection, parameterized advection, lateral diffusion, etc. Diagnosed here as a function of latitude and basin.   Use Celsius for temperature scale.","For models which do not have a Cartesian lat-long grid, this transport can be approximated as the transport across zig-zag paths corresponding to latitudes with spacing between latitudes appropriate to the model's resolution, as is done for the ocean meridional overturning mass streamfunction. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: sum (comment: basin sum [along zig-zag grid path]) depth: sum time: mean CMIP7:depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,",latitude basin time,hfbasin,real,,YB-na,time-intv,Omon,hfbasin,hfbasin,tavg-u-hyb-sea,hfbasin_tavg-u-hyb-sea,glb,Omon.hfbasin,ocean.hfbasin.tavg-u-hyb-sea.mon.glb,baa5c87c-e5dd-11e5-8482-ac72891c3257,high,,
402,ocean.hfds.tavg-u-hxy-sea.mon.glb,mon,ocean,surface_downward_heat_flux_in_sea_water,W m-2,area: mean where sea time: mean,area: areacello,Downward Heat Flux at Sea Water Surface,"This is the net flux of heat entering the liquid water column through its upper surface (excluding any ""flux adjustment"") .",Report on native horizontal grid as well as remapped onto a latitude/longitude grid.,longitude latitude time,hfds,real,down,XY-na,time-intv,Omon,hfds,hfds,tavg-u-hxy-sea,hfds_tavg-u-hxy-sea,glb,Omon.hfds,ocean.hfds.tavg-u-hxy-sea.mon.glb,baa6c33a-e5dd-11e5-8482-ac72891c3257,core,,
403,ocean.hfgeou.ti-u-hxy-sea.fx.glb,fx,ocean,upward_geothermal_heat_flux_at_sea_floor,W m-2,area: mean where sea,area: areacello,Upward Geothermal Heat Flux at Sea Floor,Upward geothermal heat flux per unit area on the sea floor,"Variable value should be reported as the upward flux at bottom of the deepest ocean layer
If this field is time-dependent then save it instead as one of your Omon fields (see the Omon table)",longitude latitude,hfgeou,real,up,XY-na,None,Ofx,hfgeou,hfgeou,ti-u-hxy-sea,hfgeou_ti-u-hxy-sea,glb,Ofx.hfgeou,ocean.hfgeou.ti-u-hxy-sea.fx.glb,baa3fb50-e5dd-11e5-8482-ac72891c3257,core,,
404,ocean.hfx.tavg-ol-hxy-sea.mon.glb,mon,ocean,ocean_heat_x_transport,W,area: mean where sea time: mean,area: areacello volume: volcello,3D Ocean Heat X Transport,Contains all contributions to 'x-ward' heat transport from resolved and parameterized processes. Use Celsius for temperature scale,"3d field. If only the 2d vertically integrated transport is available or is preferred, produce Omon.hfxint instead.
Online mapping to depth/pressure vertical grid if depth or pressure are not native. Report on native horizontal grid.",longitude latitude olevel time,hfx,real,,XY-O,time-intv,Omon,hfx,hfx,tavg-ol-hxy-sea,hfx_tavg-ol-hxy-sea,glb,Omon.hfx,ocean.hfx.tavg-ol-hxy-sea.mon.glb,83bbfb51-7f07-11ef-9308-b1dd71e64bec,high,,
