,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
144,ocean.absscint.tavg-op4-hxy-sea.mon.glb,mon,ocean,integral_wrt_depth_of_sea_water_absolute_salinity_expressed_as_salt_mass_content,kg m-2,area: time: mean where sea,area: areacello,Integral wrt depth of seawater absolute salinity expressed as salt mass content,"This is a fundamental aspect of the changes in the hydrological cycle and their impact on the oceans, and due to new numerical schemes and vertical discretizations, it is important to calculate it consistently with the model formulation.","CHANGE: This is a new variable, which aids in understanding hydrological change. It is preferable to calculate it online, due to difficulties with vertical discretizations. It is calculated as an integral over hydrostatic pressure ranges, which makes it directly comparable with observations.",longitude latitude oplayer4 time,absscint,real,,XY-B,time-intv,Omon,absscint,absscint,tavg-op4-hxy-sea,absscint_tavg-op4-hxy-sea,glb,Omon.absscint,ocean.absscint.tavg-op4-hxy-sea.mon.glb,80ab72a5-a698-11ef-914a-613c0433d878,high,,
145,ocean.agessc.tavg-ol-hxy-sea.mon.glb,mon,ocean,sea_water_age_since_surface_contact,yr,area: mean where sea time: mean,area: areacello volume: volcello,Sea Water Age Since Surface Contact,Time elapsed since water was last in surface layer of the ocean.,Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,agessc,real,,XY-O,time-intv,Omon,agessc,agessc,tavg-ol-hxy-sea,agessc_tavg-ol-hxy-sea,glb,Omon.agessc,ocean.agessc.tavg-ol-hxy-sea.mon.glb,baa56de6-e5dd-11e5-8482-ac72891c3257,high,,
148,ocean.bigthetao.tavg-ol-hm-sea.mon.glb,mon,ocean,sea_water_conservative_temperature,degC,area: mean where sea time: mean,,Global Average Sea Water Conservative Temperature,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:time CMIP7:olevel time,",olevel time,bigthetao,real,,na-O,time-intv,Omon,bigthetaoga,bigthetao,tavg-ol-hm-sea,bigthetao_tavg-ol-hm-sea,glb,Omon.bigthetaoga,ocean.bigthetao.tavg-ol-hm-sea.mon.glb,baa52994-e5dd-11e5-8482-ac72891c3257,high,,
149,ocean.bigthetao.tavg-ol-hxy-sea.dec.glb,dec,ocean,sea_water_conservative_temperature,degC,area: mean where sea time: mean,area: areacello volume: volcello,Sea Water Conservative Temperature,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,,longitude latitude olevel time,bigthetao,real,,XY-O,time-intv,Odec,bigthetao,bigthetao,tavg-ol-hxy-sea,bigthetao_tavg-ol-hxy-sea,glb,Odec.bigthetao,ocean.bigthetao.tavg-ol-hxy-sea.dec.glb,134c7db2-1026-11e8-9d87-1c4d70487308,high,,
151,ocean.chcint.tavg-op4-hxy-sea.mon.glb,mon,ocean,integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content,J m-2,area: time: mean where sea,area: areacello,Depth Integrated Seawater Conservative Temperature Expressed As Heat Content,This is the vertically-integrated heat content derived from conservative temperature (bigthetao).,"CHANGE: This is a new variable, which aids in calculation of energy budgets. It is preferable to calculate it online, due to difficulties with vertical discretizations. It is calculated as an integral over hydrostatic pressure ranges, which makes it directly comparable with observations so long as integrals are over 0-300m, 300m-700m, 700m-2000m, total depth.",longitude latitude oplayer4 time,chcint,real,,XY-B,time-intv,Omon,chcint,chcint,tavg-op4-hxy-sea,chcint_tavg-op4-hxy-sea,glb,Omon.chcint,ocean.chcint.tavg-op4-hxy-sea.mon.glb,80ab72a2-a698-11ef-914a-613c0433d878,high,,
153,ocean.difmxybo.tavg-ol-hxy-sea.yr.glb,yr,ocean,ocean_momentum_xy_biharmonic_diffusivity,m4 s-1,area: mean where sea time: mean,area: areacello volume: volcello,Ocean Momentum XY Biharmonic Diffusivity,Lateral biharmonic viscosity applied to the momentum equations.,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,difmxybo,real,,XY-O,time-intv,Oyr,difmxybo,difmxybo,tavg-ol-hxy-sea,difmxybo_tavg-ol-hxy-sea,glb,Oyr.difmxybo,ocean.difmxybo.tavg-ol-hxy-sea.yr.glb,baa4e8ee-e5dd-11e5-8482-ac72891c3257,low,,
154,ocean.difmxylo.tavg-ol-hxy-sea.yr.glb,yr,ocean,ocean_momentum_xy_laplacian_diffusivity,m2 s-1,area: mean where sea time: mean,area: areacello volume: volcello,Ocean Momentum XY Laplacian Diffusivity,Lateral Laplacian viscosity applied to the momentum equations.,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,difmxylo,real,,XY-O,time-intv,Oyr,difmxylo,difmxylo,tavg-ol-hxy-sea,difmxylo_tavg-ol-hxy-sea,glb,Oyr.difmxylo,ocean.difmxylo.tavg-ol-hxy-sea.yr.glb,baa4e4a2-e5dd-11e5-8482-ac72891c3257,low,,
155,ocean.diftrblo.tavg-ol-hxy-sea.yr.glb,yr,ocean,ocean_tracer_laplacian_diffusivity_due_to_parameterized_mesoscale_eddy_advection,m2 s-1,area: mean where sea time: mean,area: areacello volume: volcello,Ocean Tracer Diffusivity Due to Parameterized Mesoscale Advection,"Ocean tracer diffusivity associated with parameterized eddy-induced advective transport. Sometimes this diffusivity is called the ""thickness"" diffusivity. For CMIP5, this diagnostic was called ""ocean tracer bolus laplacian diffusivity"".  The CMIP6 name is physically more relevant.",Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,diftrblo,real,,XY-O,time-intv,Oyr,diftrblo,diftrblo,tavg-ol-hxy-sea,diftrblo_tavg-ol-hxy-sea,glb,Oyr.diftrblo,ocean.diftrblo.tavg-ol-hxy-sea.yr.glb,baa4d82c-e5dd-11e5-8482-ac72891c3257,low,,
156,ocean.diftrelo.tavg-ol-hxy-sea.yr.glb,yr,ocean,ocean_tracer_epineutral_laplacian_diffusivity,m2 s-1,area: mean where sea time: mean,area: areacello volume: volcello,Ocean Tracer Epineutral Laplacian Diffusivity,Ocean tracer diffusivity associated with parameterized eddy-induced diffusive transport oriented along neutral or isopycnal directions. Sometimes this diffusivity is called the neutral diffusivity or isopycnal diffusivity or Redi diffusivity.,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,diftrelo,real,,XY-O,time-intv,Oyr,diftrelo,diftrelo,tavg-ol-hxy-sea,diftrelo_tavg-ol-hxy-sea,glb,Oyr.diftrelo,ocean.diftrelo.tavg-ol-hxy-sea.yr.glb,baa4dc50-e5dd-11e5-8482-ac72891c3257,low,,
157,ocean.difvho.tavg-ol-hxy-sea.yr.glb,yr,ocean,ocean_vertical_heat_diffusivity,m2 s-1,area: mean where sea time: mean,area: areacello volume: volcello,Ocean Vertical Heat Diffusivity,Vertical/dianeutral diffusivity applied to prognostic temperature field.,Report on native horizontal grid as well. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,difvho,real,,XY-O,time-intv,Oyr,difvho,difvho,tavg-ol-hxy-sea,difvho_tavg-ol-hxy-sea,glb,Oyr.difvho,ocean.difvho.tavg-ol-hxy-sea.yr.glb,baa4ac8a-e5dd-11e5-8482-ac72891c3257,low,,
158,ocean.difvso.tavg-ol-hxy-sea.yr.glb,yr,ocean,ocean_vertical_salt_diffusivity,m2 s-1,area: mean where sea time: mean,area: areacello volume: volcello,Ocean Vertical Salt Diffusivity,Vertical/dianeutral diffusivity applied to prognostic salinity field.,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,longitude latitude olevel time,difvso,real,,XY-O,time-intv,Oyr,difvso,difvso,tavg-ol-hxy-sea,difvso_tavg-ol-hxy-sea,glb,Oyr.difvso,ocean.difvso.tavg-ol-hxy-sea.yr.glb,baa4b0b8-e5dd-11e5-8482-ac72891c3257,low,,
159,ocean.dispkexyfo.tavg-u-hxy-sea.yr.glb,yr,ocean,ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction,W m-2,area: mean where sea time: mean,area: areacello,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction,"Depth integrated impacts on kinetic energy arising from lateral frictional dissipation associated with Laplacian and/or biharmonic viscosity. For CMIP5, this diagnostic was 3d, whereas the CMIP6 depth integrated diagnostic is sufficient for many purposes and reduces archive requirements.",,longitude latitude time,dispkexyfo,real,,XY-int,time-intv,Oyr,dispkexyfo,dispkexyfo,tavg-u-hxy-sea,dispkexyfo_tavg-u-hxy-sea,glb,Oyr.dispkexyfo,ocean.dispkexyfo.tavg-u-hxy-sea.yr.glb,baa4ed3a-e5dd-11e5-8482-ac72891c3257,low,,
160,ocean.dxto.ti-u-hxy-u.fx.glb,fx,ocean,cell_x_length,m,area: point,--MODEL,Cell Length in the X Direction at t-points,"The linear extent of the cell in the x direction of the horizontal grid centered at t-points (points for tracers such as temperature, salinity, etc.). Not applicable to unstructured grids.",,longitude latitude,dxto,real,,XY-na,None,Ofx,dxto,dxto,ti-u-hxy-u,dxto_ti-u-hxy-u,glb,Ofx.dxto,ocean.dxto.ti-u-hxy-u.fx.glb,83bbfb67-7f07-11ef-9308-b1dd71e64bec,low,,
161,ocean.dxuo.ti-u-hxy-u.fx.glb,fx,ocean,cell_x_length,m,area: point,--MODEL,Cell Length in the X Direction at u-points,The linear extent of the cell in the x direction of the horizontal grid centered at u-points (points for velocity in the x-direction). Not applicable to unstructured grids.,,longitude latitude,dxuo,real,,XY-na,None,Ofx,dxuo,dxuo,ti-u-hxy-u,dxuo_ti-u-hxy-u,glb,Ofx.dxuo,ocean.dxuo.ti-u-hxy-u.fx.glb,83bbfb66-7f07-11ef-9308-b1dd71e64bec,low,,
162,ocean.dxvo.ti-u-hxy-u.fx.glb,fx,ocean,cell_x_length,m,area: point,--MODEL,Cell Length in the X Direction at v-points,The linear extent of the cell in the x direction of the horizontal grid centered at v-points (points for velocity in the y-direction). Not applicable to unstructured grids.,,longitude latitude,dxvo,real,,XY-na,None,Ofx,dxvo,dxvo,ti-u-hxy-u,dxvo_ti-u-hxy-u,glb,Ofx.dxvo,ocean.dxvo.ti-u-hxy-u.fx.glb,83bbfb65-7f07-11ef-9308-b1dd71e64bec,low,,
163,ocean.dyto.ti-u-hxy-u.fx.glb,fx,ocean,cell_y_length,m,area: point,--MODEL,Cell Length in the Y Direction at t-points,"The linear extent of the cell in the y direction of the horizontal grid centered at t-points (points for tracers such as temperature, salinity, etc.). Not applicable to unstructured grids.",,longitude latitude,dyto,real,,XY-na,None,Ofx,dyto,dyto,ti-u-hxy-u,dyto_ti-u-hxy-u,glb,Ofx.dyto,ocean.dyto.ti-u-hxy-u.fx.glb,83bbfb64-7f07-11ef-9308-b1dd71e64bec,low,,
164,ocean.dyuo.ti-u-hxy-u.fx.glb,fx,ocean,cell_y_length,m,area: point,--MODEL,Cell Length in the Y Direction at u-points,The linear extent of the cell in the y direction of the horizontal grid centered at u-points (points for velocity in the x-direction). Not applicable to unstructured grids.,,longitude latitude,dyuo,real,,XY-na,None,Ofx,dyuo,dyuo,ti-u-hxy-u,dyuo_ti-u-hxy-u,glb,Ofx.dyuo,ocean.dyuo.ti-u-hxy-u.fx.glb,83bbfb63-7f07-11ef-9308-b1dd71e64bec,low,,
165,ocean.dyvo.ti-u-hxy-u.fx.glb,fx,ocean,cell_y_length,m,area: point,--MODEL,Cell Length in the Y Direction at v-points,The linear extent of the cell in the y direction of the horizontal grid centered at v-points (points for velocity in the y-direction). Not applicable to unstructured grids.,,longitude latitude,dyvo,real,,XY-na,None,Ofx,dyvo,dyvo,ti-u-hxy-u,dyvo_ti-u-hxy-u,glb,Ofx.dyvo,ocean.dyvo.ti-u-hxy-u.fx.glb,83bbfb62-7f07-11ef-9308-b1dd71e64bec,low,,
166,ocean.evspsbl.tavg-u-hxy-ifs.mon.glb,mon,ocean,water_evapotranspiration_flux,kg m-2 s-1,area: mean where ice_free_sea over sea time: mean,area: areacello,Water Evaporation Flux Where Ice Free Ocean over Sea,computed as the total mass of water vapor evaporating from the ice-free portion of the ocean  divided by the area of the ocean portion of the grid cell.,,longitude latitude time,evspsbl,real,,XY-na,time-intv,Omon,evs,evspsbl,tavg-u-hxy-ifs,evspsbl_tavg-u-hxy-ifs,glb,Omon.evs,ocean.evspsbl.tavg-u-hxy-ifs.mon.glb,baa6204c-e5dd-11e5-8482-ac72891c3257,medium,,
168,ocean.ficeberg.tavg-u-hxy-sea.mon.glb,mon,ocean,water_flux_into_sea_water_from_icebergs,kg m-2 s-1,area: mean where sea time: mean,area: areacello,Water Flux into Sea Water from Icebergs,computed as the iceberg melt water flux into the ocean divided by the area of the ocean portion of the grid cell.,"If only the vertically integrated melt water flux is available, report as this 2-d field; otherwise ficeberg should be used.",longitude latitude time,ficeberg,real,,XY-na,time-intv,Omon,ficeberg,ficeberg,tavg-u-hxy-sea,ficeberg_tavg-u-hxy-sea,glb,Omon.ficeberg2d,ocean.ficeberg.tavg-u-hxy-sea.mon.glb,baa62cea-e5dd-11e5-8482-ac72891c3257,high,,
169,ocean.flandice.tavg-u-hxy-sea.mon.glb,mon,ocean,water_flux_into_sea_water_from_land_ice,kg m-2 s-1,area: mean where sea time: mean,area: areacello,Water Flux into Sea Water from Land Ice,Computed as the water flux into the ocean due to land ice (runoff water from surface and base of land ice or melt from base of ice shelf or vertical ice front) into the ocean divided by the area ocean portion of the grid cell,,longitude latitude time,flandice,real,,XY-na,time-intv,Emon,flandice,flandice,tavg-u-hxy-sea,flandice_tavg-u-hxy-sea,glb,Emon.flandice,ocean.flandice.tavg-u-hxy-sea.mon.glb,d2234af2-4a9f-11e6-b84e-ac72891c3257,high,,
171,ocean.hfacrossline.tavg-u-ht-sea.mon.glb,mon,ocean,ocean_heat_transport_across_line,W,area: mean where sea depth: sum where sea time: mean,,Ocean Heat Transport across Lines,"Depth-integrated total heat transport from resolved and parameterized processes across different lines on the Earth's surface (based on appendix J and table J1 of Griffies et al., 2016). Formally, this means the integral along the line of the normal component of the heat transport. Positive and negative numbers refer to total northward/eastward and southward/westward transports, respectively. The transport should be evaluated for the full depth of the ocean, except for the Pacific Equatorial Undercurrent, which is averaged from the surface to 350m. Use Celsius for temperature scale.",,oline time,hfacrossline,real,,TR-na,time-intv,Omon,hfacrossline,hfacrossline,tavg-u-ht-sea,hfacrossline_tavg-u-ht-sea,glb,Omon.hfacrossline,ocean.hfacrossline.tavg-u-ht-sea.mon.glb,80ab7446-a698-11ef-914a-613c0433d878,medium,,
173,ocean.hfbasinpadv.tavg-u-hyb-sea.mon.glb,mon,ocean,northward_ocean_heat_transport_due_to_parameterized_eddy_advection,W,depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,,Northward Ocean Heat Transport Due to Parameterized Eddy Advection,Contributions to heat transport from parameterized eddy-induced advective transport due to any subgrid advective process. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.,"For models which do not have a Cartesian lat-long grid, this transport can be approximated as the transport across zig-zag paths corresponding to latitudes with spacing between latitudes appropriate to the model's resolution, as is done for the ocean meridional overturning mass streamfunction. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: sum (comment: basin sum [along zig-zag grid path]) depth: sum time: mean CMIP7:depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,",latitude basin time,hfbasinpadv,real,,YB-na,time-intv,Omon,hfbasinpadv,hfbasinpadv,tavg-u-hyb-sea,hfbasinpadv_tavg-u-hyb-sea,glb,Omon.hfbasinpadv,ocean.hfbasinpadv.tavg-u-hyb-sea.mon.glb,baa5d952-e5dd-11e5-8482-ac72891c3257,high,,
174,ocean.hfbasinpmadv.tavg-u-hyb-sea.mon.glb,mon,ocean,northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_advection,W,depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection,Contributions to heat transport from parameterized mesoscale eddy-induced advective transport. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.,"For models which do not have a Cartesian lat-long grid, this transport can be approximated as the transport across zig-zag paths corresponding to latitudes with spacing between latitudes appropriate to the model's resolution, as is done for the ocean meridional overturning mass streamfunction. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: sum (comment: basin sum [along zig-zag grid path]) depth: sum time: mean CMIP7:depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,",latitude basin time,hfbasinpmadv,real,,YB-na,time-intv,Omon,hfbasinpmadv,hfbasinpmadv,tavg-u-hyb-sea,hfbasinpmadv_tavg-u-hyb-sea,glb,Omon.hfbasinpmadv,ocean.hfbasinpmadv.tavg-u-hyb-sea.mon.glb,baa5ccb4-e5dd-11e5-8482-ac72891c3257,high,,
175,ocean.hfbasinpmdiff.tavg-u-hyb-sea.mon.glb,mon,ocean,northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_diffusion,W,depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,,Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion,"Contributions to heat transport from parameterized mesoscale eddy-induced diffusive transport (i.e., neutral diffusion). Diagnosed here as a function of latitude and basin.","For models which do not have a Cartesian lat-long grid, this transport can be approximated as the transport across zig-zag paths corresponding to latitudes with spacing between latitudes appropriate to the model's resolution, as is done for the ocean meridional overturning mass streamfunction. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: sum (comment: basin sum [along zig-zag grid path]) depth: sum time: mean CMIP7:depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,",latitude basin time,hfbasinpmdiff,real,,YB-na,time-intv,Omon,hfbasinpmdiff,hfbasinpmdiff,tavg-u-hyb-sea,hfbasinpmdiff_tavg-u-hyb-sea,glb,Omon.hfbasinpmdiff,ocean.hfbasinpmdiff.tavg-u-hyb-sea.mon.glb,baa5d0ec-e5dd-11e5-8482-ac72891c3257,high,,
176,ocean.hfbasinpsmadv.tavg-u-hyb-sea.mon.glb,mon,ocean,northward_ocean_heat_transport_due_to_parameterized_submesoscale_eddy_advection,W,depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,,Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection,Contributions to heat transport from parameterized mesoscale eddy-induced advective transport. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.,"For models which do not have a Cartesian lat-long grid, this transport can be approximated as the transport across zig-zag paths corresponding to latitudes with spacing between latitudes appropriate to the model's resolution, as is done for the ocean meridional overturning mass streamfunction. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: sum (comment: basin sum [along zig-zag grid path]) depth: sum time: mean CMIP7:depth: longitude: sum where sea (along a zig-zag grid path spanning a basin) where sea time: mean,",latitude basin time,hfbasinpsmadv,real,,YB-na,time-intv,Omon,hfbasinpsmadv,hfbasinpsmadv,tavg-u-hyb-sea,hfbasinpsmadv_tavg-u-hyb-sea,glb,Omon.hfbasinpsmadv,ocean.hfbasinpsmadv.tavg-u-hyb-sea.mon.glb,baa5d524-e5dd-11e5-8482-ac72891c3257,high,,
178,ocean.hfevapds.tavg-u-hxy-ifs.mon.glb,mon,ocean,temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water,W m-2,area: time: mean where ice_free_sea over sea,area: areacello,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,"This is defined as ""where ice_free_sea over sea""","Report on native horizontal grid. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where ice_free_sea over sea time: mean CMIP7:area: time: mean where ice_free_sea over sea,",longitude latitude time,hfevapds,real,up,XY-na,time-intv,Omon,hfevapds,hfevapds,tavg-u-hxy-ifs,hfevapds_tavg-u-hxy-ifs,glb,Omon.hfevapds,ocean.hfevapds.tavg-u-hxy-ifs.mon.glb,baa67b8c-e5dd-11e5-8482-ac72891c3257,medium,,
179,ocean.hfgeou.tavg-u-hxy-sea.mon.glb,mon,ocean,upward_geothermal_heat_flux_at_sea_floor,W m-2,area: mean where sea time: mean,area: areacello,Upward Geothermal Heat Flux at Sea Floor,Upward geothermal heat flux per unit area on the sea floor,"Variable value should be reported as the upward flux at bottom of the deepest ocean layer
If this field is time-invariant, then save it instead as one of your ""fixed"" fields (see the fx table). Report on native horizontal grid.",longitude latitude time,hfgeou,real,up,XY-na,time-intv,Omon,hfgeou,hfgeou,tavg-u-hxy-sea,hfgeou_tavg-u-hxy-sea,glb,Omon.hfgeou,ocean.hfgeou.tavg-u-hxy-sea.mon.glb,baa67344-e5dd-11e5-8482-ac72891c3257,high,,
181,ocean.hfibthermds.tavg-ol-hxy-sea.mon.glb,mon,ocean,heat_flux_into_sea_water_due_to_iceberg_thermodynamics,W m-2,area: mean where sea time: mean,area: areacello volume: volcello,Heat Flux into Sea Water Due to Iceberg Thermodynamics,Heat Flux into Sea Water Due to Iceberg Thermodynamics,"In general this should be reported as a function of depth, (i.e.,  it will be a function of the generic ""XYZ"" dimensions).  Include enough depth levels to represent  the non-zero values of this field everywhere on the globe. Report on native horizontal grid. If a function of depth, perform online remapping to depth or pressure, if not native vertical grid.",longitude latitude olevel time,hfibthermds,real,,XY-O,time-intv,Omon,hfibthermds,hfibthermds,tavg-ol-hxy-sea,hfibthermds_tavg-ol-hxy-sea,glb,Omon.hfibthermds,ocean.hfibthermds.tavg-ol-hxy-sea.mon.glb,baa6a18e-e5dd-11e5-8482-ac72891c3257,medium,,
182,ocean.hfibthermds.tavg-u-hxy-sea.mon.glb,mon,ocean,heat_flux_into_sea_water_due_to_iceberg_thermodynamics,W m-2,area: mean where sea time: mean,area: areacello,Heat Flux into Sea Water Due to Iceberg Thermodynamics,Heat Flux into Sea Water Due to Iceberg Thermodynamics,"If only the vertically integrated heat flux is available, report as this 2-d field; otherwise hfibthermds should be used.",longitude latitude time,hfibthermds,real,,XY-na,time-intv,Omon,hfibthermds,hfibthermds,tavg-u-hxy-sea,hfibthermds_tavg-u-hxy-sea,glb,Omon.hfibthermds2d,ocean.hfibthermds.tavg-u-hxy-sea.mon.glb,baa6a5bc-e5dd-11e5-8482-ac72891c3257,medium,,
183,ocean.hfrainds.tavg-u-hxy-ifs.mon.glb,mon,ocean,temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water,W m-2,area: time: mean where ice_free_sea over sea,area: areacello,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water,"This is defined as ""where ice_free_sea over sea""; i.e., the total flux (considered here) entering the ice-free portion of the grid cell divided by the area of the ocean portion of the grid cell.  All such heat fluxes are computed based on Celsius scale.","Report on native horizontal grid. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where ice_free_sea over sea time: mean CMIP7:area: time: mean where ice_free_sea over sea,",longitude latitude time,hfrainds,real,down,XY-na,time-intv,Omon,hfrainds,hfrainds,tavg-u-hxy-ifs,hfrainds_tavg-u-hxy-ifs,glb,Omon.hfrainds,ocean.hfrainds.tavg-u-hxy-ifs.mon.glb,baa67768-e5dd-11e5-8482-ac72891c3257,medium,,
