,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,flag_values,flag_meanings
1,atmos.cl.tavg-al-hxy-u.mon.glb,mon,atmos,cloud_area_fraction_in_atmosphere_layer,%,area: time: mean,area: areacella,Percentage Cloud Cover,Includes both large-scale and convective cloud.,Report on model layers (not standard pressures).,longitude latitude alevel time,cl,real,,XY-A,time-intv,Amon,cl,cl,tavg-al-hxy-u,cl_tavg-al-hxy-u,glb,Amon.cl,atmos.cl.tavg-al-hxy-u.mon.glb,baaa4302-e5dd-11e5-8482-ac72891c3257,,
2,atmos.cli.tavg-al-hxy-u.mon.glb,mon,atmos,mass_fraction_of_cloud_ice_in_air,kg kg-1,area: time: mean,area: areacella,Mass Fraction of Cloud Ice,Includes both large-scale and convective cloud.  This is calculated as the mass of cloud ice in the grid cell divided by the mass of air (including the water in all phases) in the grid cell. It includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,Report on model layers (not standard pressures).,longitude latitude alevel time,cli,real,,XY-A,time-intv,Amon,cli,cli,tavg-al-hxy-u,cli_tavg-al-hxy-u,glb,Amon.cli,atmos.cli.tavg-al-hxy-u.mon.glb,baaa8326-e5dd-11e5-8482-ac72891c3257,,
3,atmos.clivi.tavg-u-hxy-u.mon.glb,mon,atmos,atmosphere_mass_content_of_cloud_ice,kg m-2,area: time: mean,area: areacella,Ice Water Path,mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.,,longitude latitude time,clivi,real,,XY-na,time-intv,Amon,clivi,clivi,tavg-u-hxy-u,clivi_tavg-u-hxy-u,glb,Amon.clivi,atmos.clivi.tavg-u-hxy-u.mon.glb,baaa9852-e5dd-11e5-8482-ac72891c3257,,
4,atmos.clt.tavg-u-hxy-u.day.glb,day,atmos,cloud_area_fraction,%,area: time: mean,area: areacella,Total Cloud Cover Percentage,"for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",,longitude latitude time,clt,real,,XY-na,time-intv,day,clt,clt,tavg-u-hxy-u,clt_tavg-u-hxy-u,glb,day.clt,atmos.clt.tavg-u-hxy-u.day.glb,baaace4e-e5dd-11e5-8482-ac72891c3257,,
5,atmos.clt.tavg-u-hxy-u.mon.glb,mon,atmos,cloud_area_fraction,%,area: time: mean,area: areacella,Total Cloud Cover Percentage,"for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.",,longitude latitude time,clt,real,,XY-na,time-intv,Amon,clt,clt,tavg-u-hxy-u,clt_tavg-u-hxy-u,glb,Amon.clt,atmos.clt.tavg-u-hxy-u.mon.glb,baaad7e0-e5dd-11e5-8482-ac72891c3257,,
6,atmos.clw.tavg-al-hxy-u.mon.glb,mon,atmos,mass_fraction_of_cloud_liquid_water_in_air,kg kg-1,area: time: mean,area: areacella,Mass Fraction of Cloud Liquid Water,Includes both large-scale and convective cloud.  Calculate as the mass of cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cells. Precipitating hydrometeors are included ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,Report on model layers (not standard pressures).,longitude latitude alevel time,clw,real,,XY-A,time-intv,Amon,clw,clw,tavg-al-hxy-u,clw_tavg-al-hxy-u,glb,Amon.clw,atmos.clw.tavg-al-hxy-u.mon.glb,baab0382-e5dd-11e5-8482-ac72891c3257,,
7,atmos.clwvi.tavg-u-hxy-u.mon.glb,mon,atmos,atmosphere_mass_content_of_cloud_condensed_water,kg m-2,area: time: mean,area: areacella,Condensed Water Path,mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.,,longitude latitude time,clwvi,real,,XY-na,time-intv,Amon,clwvi,clwvi,tavg-u-hxy-u,clwvi_tavg-u-hxy-u,glb,Amon.clwvi,atmos.clwvi.tavg-u-hxy-u.mon.glb,baab1818-e5dd-11e5-8482-ac72891c3257,,
9,atmos.hfls.tavg-u-hxy-u.mon.glb,mon,atmos,surface_upward_latent_heat_flux,W m-2,area: time: mean,area: areacella,Surface Upward Latent Heat Flux,includes both evaporation and sublimation,,longitude latitude time,hfls,real,up,XY-na,time-intv,Amon,hfls,hfls,tavg-u-hxy-u,hfls_tavg-u-hxy-u,glb,Amon.hfls,atmos.hfls.tavg-u-hxy-u.mon.glb,baaefe2e-e5dd-11e5-8482-ac72891c3257,,
10,atmos.hfss.tavg-u-hxy-u.mon.glb,mon,atmos,surface_upward_sensible_heat_flux,W m-2,area: time: mean,area: areacella,Surface Upward Sensible Heat Flux,"The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.",,longitude latitude time,hfss,real,up,XY-na,time-intv,Amon,hfss,hfss,tavg-u-hxy-u,hfss_tavg-u-hxy-u,glb,Amon.hfss,atmos.hfss.tavg-u-hxy-u.mon.glb,baaf86a0-e5dd-11e5-8482-ac72891c3257,,
11,atmos.hur.tavg-p19-hxy-air.mon.glb,mon,atmos,relative_humidity,%,area: time: mean where air,area: areacella,Relative Humidity,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,hur,real,,XY-P19,time-intv,Amon,hur,hur,tavg-p19-hxy-air,hur_tavg-p19-hxy-air,glb,Amon.hur,atmos.hur.tavg-p19-hxy-air.mon.glb,baafe578-e5dd-11e5-8482-ac72891c3257,,
