,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,flag_values,flag_meanings
78,land.evspsblsoi.tavg-u-hxy-lnd.mon.glb,mon,land,water_evaporation_flux_from_soil,kg m-2 s-1,area: mean where land time: mean,area: areacella,Water Evaporation from Soil,includes sublimation.,,longitude latitude time,evspsblsoi,real,,XY-na,time-intv,Lmon,evspsblsoi,evspsblsoi,tavg-u-hxy-lnd,evspsblsoi_tavg-u-hxy-lnd,glb,Lmon.evspsblsoi,land.evspsblsoi.tavg-u-hxy-lnd.mon.glb,baad5d9e-e5dd-11e5-8482-ac72891c3257,,
79,land.evspsblveg.tavg-u-hxy-lnd.mon.glb,mon,land,water_evaporation_flux_from_canopy,kg m-2 s-1,area: mean where land time: mean,area: areacella,Evaporation from Canopy,the canopy evaporation+sublimation (if present in model).,,longitude latitude time,evspsblveg,real,,XY-na,time-intv,Lmon,evspsblveg,evspsblveg,tavg-u-hxy-lnd,evspsblveg_tavg-u-hxy-lnd,glb,Lmon.evspsblveg,land.evspsblveg.tavg-u-hxy-lnd.mon.glb,baad6596-e5dd-11e5-8482-ac72891c3257,,
80,land.lai.tavg-u-hxy-lnd.mon.glb,mon,land,leaf_area_index,1,area: mean where land time: mean,area: areacella,Leaf Area Index,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,"Note that if this variable is independent of time, it should be stored only for a single time (user choice).",longitude latitude time,lai,real,,XY-na,time-intv,Lmon,lai,lai,tavg-u-hxy-lnd,lai_tavg-u-hxy-lnd,glb,Lmon.lai,land.lai.tavg-u-hxy-lnd.mon.glb,bab0919e-e5dd-11e5-8482-ac72891c3257,,
81,land.mrro.tavg-u-hxy-lnd.mon.glb,mon,land,runoff_flux,kg m-2 s-1,area: mean where land time: mean,area: areacella,Total Runoff,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.",,longitude latitude time,mrro,real,,XY-na,time-intv,Lmon,mrro,mrro,tavg-u-hxy-lnd,mrro_tavg-u-hxy-lnd,glb,Lmon.mrro,land.mrro.tavg-u-hxy-lnd.mon.glb,bab17a6e-e5dd-11e5-8482-ac72891c3257,,
82,land.mrros.tavg-u-hxy-lnd.mon.glb,mon,land,surface_runoff_flux,kg m-2 s-1,area: mean where land time: mean,area: areacella,Surface Runoff,the total surface runoff leaving the land portion of the grid cell.,,longitude latitude time,mrros,real,,XY-na,time-intv,Lmon,mrros,mrros,tavg-u-hxy-lnd,mrros_tavg-u-hxy-lnd,glb,Lmon.mrros,land.mrros.tavg-u-hxy-lnd.mon.glb,bab19ff8-e5dd-11e5-8482-ac72891c3257,,
83,land.mrso.tavg-u-hxy-lnd.mon.glb,mon,land,mass_content_of_water_in_soil,kg m-2,area: mean where land time: mean,area: areacella,Total Soil Moisture Content,the mass per unit area  (summed over all soil layers) of water in all phases.,,longitude latitude time,mrso,real,,XY-na,time-intv,Lmon,mrso,mrso,tavg-u-hxy-lnd,mrso_tavg-u-hxy-lnd,glb,Lmon.mrso,land.mrso.tavg-u-hxy-lnd.mon.glb,bab1a782-e5dd-11e5-8482-ac72891c3257,,
84,land.mrsofc.ti-u-hxy-lnd.fx.glb,fx,land,soil_moisture_content_at_field_capacity,kg m-2,area: mean where land,area: areacella,Capacity of Soil to Store Water (Field Capacity),"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell;  reported as ""missing"" where the land fraction is 0.","This variable should exclude lake water and must refer to soil water only.
CHANGE: processing clarified.",longitude latitude,mrsofc,real,,XY-na,None,fx,mrsofc,mrsofc,ti-u-hxy-lnd,mrsofc_ti-u-hxy-lnd,glb,fx.mrsofc,land.mrsofc.ti-u-hxy-lnd.fx.glb,bab1c08c-e5dd-11e5-8482-ac72891c3257,,
85,land.mrsol.tavg-d10cm-hxy-lnd.mon.glb,mon,land,mass_content_of_water_in_soil_layer,kg m-2,area: mean where land time: mean,area: areacella,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",longitude latitude time sdepth10cm,mrsol,real,,XY-na,time-intv,Lmon,mrsos,mrsol,tavg-d10cm-hxy-lnd,mrsol_tavg-d10cm-hxy-lnd,glb,Lmon.mrsos,land.mrsol.tavg-d10cm-hxy-lnd.mon.glb,bab1c85c-e5dd-11e5-8482-ac72891c3257,,
86,land.orog.ti-u-hxy-u.fx.glb,fx,land,surface_altitude,m,area: mean,area: areacella,Surface Altitude,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean).",,longitude latitude,orog,real,,XY-na,None,fx,orog,orog,ti-u-hxy-u,orog_ti-u-hxy-u,glb,fx.orog,land.orog.ti-u-hxy-u.fx.glb,bab2f9d4-e5dd-11e5-8482-ac72891c3257,,
87,land.rootd.ti-u-hxy-lnd.fx.glb,fx,land,root_depth,m,area: mean where land,area: areacella,Maximum Root Depth,"report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as ""missing"" where the land fraction is 0.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean CMIP7:area: mean where land,",longitude latitude,rootd,real,,XY-na,None,fx,rootd,rootd,ti-u-hxy-lnd,rootd_ti-u-hxy-lnd,glb,fx.rootd,land.rootd.ti-u-hxy-lnd.fx.glb,bab5c7fe-e5dd-11e5-8482-ac72891c3257,,
88,land.sftgif.ti-u-hxy-u.fx.glb,fx,land,land_ice_area_fraction,%,area: mean,area: areacella,Land Ice Area Percentage,"fraction of grid cell occupied by ""permanent"" ice (i.e., glaciers).","For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",longitude latitude,sftgif,real,,XY-na,None,fx,sftgif,sftgif,ti-u-hxy-u,sftgif_ti-u-hxy-u,glb,fx.sftgif,land.sftgif.ti-u-hxy-u.fx.glb,bab73a76-e5dd-11e5-8482-ac72891c3257,,
89,land.slthick.ti-sl-hxy-lnd.fx.glb,fx,land,cell_thickness,m,area: mean where land,area: areacella,Thickness of Soil Layers,Thickness of Soil Layers,,longitude latitude sdepth,slthick,real,,XY-S,None,Efx,slthick,slthick,ti-sl-hxy-lnd,slthick_ti-sl-hxy-lnd,glb,Efx.slthick,land.slthick.ti-sl-hxy-lnd.fx.glb,f2fad86e-c38d-11e6-abc1-1b922e5e1118,,
