,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,flag_values,flag_meanings
93,ocean.areacello.ti-u-hxy-u.fx.glb,fx,ocean,cell_area,m2,area: sum,,Grid-Cell Area for Ocean Variables,"Cell areas for any grid used to report ocean variables and variables which are requested as used on the model ocean grid (e.g. hfsso, which is a downward heat flux from the atmosphere interpolated onto the ocean grid). These cell areas should be defined to enable exact calculation of global integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).","For oceans with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",longitude latitude,areacello,real,,XY-na,None,Ofx,areacello,areacello,ti-u-hxy-u,areacello_ti-u-hxy-u,glb,Ofx.areacello,ocean.areacello.ti-u-hxy-u.fx.glb,baa3ee94-e5dd-11e5-8482-ac72891c3257,,
94,ocean.basin.ti-u-hxy-u.fx.glb,fx,ocean,region,1,area: mean,area: areacello,Region Selection Index,A variable with the standard name of region contains strings which indicate geographical regions. These strings must be chosen from the standard region list.,A variable with the standard name of region contains either strings which indicate a geographical region or flags which can be translated to strings using flag_values and flag_meanings attributes. These strings are standardised. Values must be taken from the CF standard region list. Report on the same grid as the temperature field. CHANGE: Flag values and meanings are in dedicated fields 'Flag values' and 'Flag meanings'. ISSUE: may not be easily machine processed.,longitude latitude,basin,integer,,XY-na,None,Ofx,basin,basin,ti-u-hxy-u,basin_ti-u-hxy-u,glb,Ofx.basin,ocean.basin.ti-u-hxy-u.fx.glb,baa3f718-e5dd-11e5-8482-ac72891c3257,0 1 2 3 4 5 6 7 8 9 10,global_land southern_ocean atlantic_ocean pacific_ocean arctic_ocean indian_ocean mediterranean_sea black_sea hudson_bay baltic_sea red_sea
95,ocean.bigthetao.tavg-ol-hxy-sea.mon.glb,mon,ocean,sea_water_conservative_temperature,degC,area: mean where sea time: mean,area: areacello volume: volcello,Sea Water Conservative Temperature,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,,longitude latitude olevel time,bigthetao,real,,XY-O,time-intv,Omon,bigthetao,bigthetao,tavg-ol-hxy-sea,bigthetao_tavg-ol-hxy-sea,glb,Omon.bigthetao,ocean.bigthetao.tavg-ol-hxy-sea.mon.glb,baa5255c-e5dd-11e5-8482-ac72891c3257,,
96,ocean.deptho.ti-u-hxy-sea.fx.glb,fx,ocean,sea_floor_depth_below_geoid,m,area: mean where sea,area: areacello,Sea Floor Depth Below Geoid,Ocean bathymetry. Reported here is the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells.,Save both native and spherical.,longitude latitude,deptho,real,,XY-na,None,Ofx,deptho,deptho,ti-u-hxy-sea,deptho_ti-u-hxy-sea,glb,Ofx.deptho,ocean.deptho.ti-u-hxy-sea.fx.glb,baa3e4d0-e5dd-11e5-8482-ac72891c3257,,
97,ocean.hfds.tavg-u-hxy-sea.mon.glb,mon,ocean,surface_downward_heat_flux_in_sea_water,W m-2,area: mean where sea time: mean,area: areacello,Downward Heat Flux at Sea Water Surface,"This is the net flux of heat entering the liquid water column through its upper surface (excluding any ""flux adjustment"") .",Report on native horizontal grid as well as remapped onto a latitude/longitude grid.,longitude latitude time,hfds,real,down,XY-na,time-intv,Omon,hfds,hfds,tavg-u-hxy-sea,hfds_tavg-u-hxy-sea,glb,Omon.hfds,ocean.hfds.tavg-u-hxy-sea.mon.glb,baa6c33a-e5dd-11e5-8482-ac72891c3257,,
98,ocean.hfgeou.ti-u-hxy-sea.fx.glb,fx,ocean,upward_geothermal_heat_flux_at_sea_floor,W m-2,area: mean where sea,area: areacello,Upward Geothermal Heat Flux at Sea Floor,Upward geothermal heat flux per unit area on the sea floor,"Variable value should be reported as the upward flux at bottom of the deepest ocean layer
If this field is time-dependent then save it instead as one of your Omon fields (see the Omon table)",longitude latitude,hfgeou,real,up,XY-na,None,Ofx,hfgeou,hfgeou,ti-u-hxy-sea,hfgeou_ti-u-hxy-sea,glb,Ofx.hfgeou,ocean.hfgeou.ti-u-hxy-sea.fx.glb,baa3fb50-e5dd-11e5-8482-ac72891c3257,,
99,ocean.masscello.tavg-ol-hxy-sea.mon.glb,mon,ocean,sea_water_mass_per_unit_area,kg m-2,area: mean where sea time: mean,area: areacello volume: volcello,Ocean Grid-Cell Mass per Area,"For Boussinesq models, report this diagnostic as Boussinesq reference density times grid celll volume.","Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native. Do not use this field if masscello is fixed: use Ofx.masscello instead. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: sum where sea time: mean CMIP7:area: mean where sea time: mean,",longitude latitude olevel time,masscello,real,,XY-O,time-intv,Omon,masscello,masscello,tavg-ol-hxy-sea,masscello_tavg-ol-hxy-sea,glb,Omon.masscello,ocean.masscello.tavg-ol-hxy-sea.mon.glb,baa5147c-e5dd-11e5-8482-ac72891c3257,,
100,ocean.masscello.ti-ol-hxy-sea.fx.glb,fx,ocean,sea_water_mass_per_unit_area,kg m-2,area: mean where sea,area: areacello volume: volcello,Ocean Grid-Cell Mass per Area,"Tracer grid-cell mass per unit area used for computing tracer budgets. For Boussinesq models with static ocean grid cell thickness, masscello = rhozero\*thickcello, where thickcello is static cell thickness and rhozero is constant Boussinesq reference density. More generally, masscello is time dependent and reported as part of Omon.","3-d field: report on grid that applies to temperature. Use this variable if masscello is fixed, e.g. for Boussinesq models with static ocean grid cell thickness.
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: sum CMIP7:area: mean where sea,",longitude latitude olevel,masscello,real,,XY-O,None,Ofx,masscello,masscello,ti-ol-hxy-sea,masscello_ti-ol-hxy-sea,glb,Ofx.masscello,ocean.masscello.ti-ol-hxy-sea.fx.glb,baa3ea2a-e5dd-11e5-8482-ac72891c3257,,
101,ocean.mlotst.tavg-u-hxy-sea.mon.glb,mon,ocean,ocean_mixed_layer_thickness_defined_by_sigma_t,m,area: mean where sea time: mean,area: areacello,Ocean Mixed Layer Thickness Defined by Delta Sigma T of 0.03 kg m-3 referenced to the model level closest to 10 m depth,Sigma T is potential density referenced to ocean surface. Defined by Sigma T of 0.03 kg m-3 wrt to model level closest to 10 m depth.,"dsigmat coordinate added to clarify definition. Report on native horizontal grid as well as on a spherical latitude/longitude grid. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time CMIP7:longitude latitude time deltasigt,",longitude latitude time deltasigt,mlotst,real,,XY-na,time-intv,Omon,mlotst,mlotst,tavg-u-hxy-sea,mlotst_tavg-u-hxy-sea,glb,Omon.mlotst,ocean.mlotst.tavg-u-hxy-sea.mon.glb,baa57688-e5dd-11e5-8482-ac72891c3257,,
102,ocean.sftof.ti-u-hxy-u.fx.glb,fx,ocean,sea_area_fraction,%,area: mean,area: areacello,Sea Area Percentage,This is the area fraction at the ocean surface.,"Should this be recorded as a function of depth?  Report on the same grid that ocean fields are reported (i.e., the ocean native grid, or the grid that ocean data has been provided to CMIP.  For completeness, provide this even if the ocean grid is the same as the atmospheric grid.",longitude latitude,sftof,real,,XY-na,None,Ofx,sftof,sftof,ti-u-hxy-u,sftof_ti-u-hxy-u,glb,Ofx.sftof,ocean.sftof.ti-u-hxy-u.fx.glb,baa3f2e0-e5dd-11e5-8482-ac72891c3257,,
