,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority
12,atmos.cl.tavg-al-hxy-u.day.glb,day,atmos,cloud_area_fraction_in_atmosphere_layer,%,area: time: mean,area: areacella,Percentage Cloud Cover,"Percentage cloud cover, including both large-scale and convective cloud.",,longitude latitude alevel time,cl,real,,XY-A,time-intv,CFday,cl,cl,tavg-al-hxy-u,cl_tavg-al-hxy-u,glb,CFday.cl,atmos.cl.tavg-al-hxy-u.day.glb,baaa4a8c-e5dd-11e5-8482-ac72891c3257,high
13,atmos.clt.tavg-u-hxy-u.1hr.30S-90S,1hr,atmos,cloud_area_fraction,%,area: time: mean,area: areacella,Total Cloud Cover Percentage,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.","This is a regional subset of the variable. If you are producing the global equivalent of E1hr.clt, you should omit this regional South30 version.",longitude latitude time,clt,real,,XY-na,time-intv,E1hr,clt,clt,tavg-u-hxy-u,clt_tavg-u-hxy-u,30S-90S,E1hr.clt,atmos.clt.tavg-u-hxy-u.1hr.30S-90S,83bbfbca-7f07-11ef-9308-b1dd71e64bec,high
20,atmos.hfls.tavg-u-hxy-u.1hr.glb,1hr,atmos,surface_upward_latent_heat_flux,W m-2,area: time: mean,area: areacella,Surface Upward Latent Heat Flux,Hourly surface upward latent heat flux,,longitude latitude time,hfls,real,up,XY-na,time-intv,E1hr,hfls,hfls,tavg-u-hxy-u,hfls_tavg-u-hxy-u,glb,E1hr.hfls,atmos.hfls.tavg-u-hxy-u.1hr.glb,83bbfbc9-7f07-11ef-9308-b1dd71e64bec,medium
22,atmos.hfss.tavg-u-hxy-u.1hr.glb,1hr,atmos,surface_upward_sensible_heat_flux,W m-2,area: time: mean,area: areacella,Surface Upward Sensible Heat Flux,Hourly surface upward sensible heat flux,,longitude latitude time,hfss,real,up,XY-na,time-intv,E1hr,hfss,hfss,tavg-u-hxy-u,hfss_tavg-u-hxy-u,glb,E1hr.hfss,atmos.hfss.tavg-u-hxy-u.1hr.glb,83bbfbc8-7f07-11ef-9308-b1dd71e64bec,medium
25,atmos.hurs.tavg-h2m-hxy-u.1hr.30S-90S,1hr,atmos,relative_humidity,%,area: time: mean,area: areacella,Near-Surface Relative Humidity,Relative humidity at 2m above the surface,"This is a regional subset of the variable. If you are producing the global equivalent of E1hr.hursSouth30, you should omit this regional South30 version.",longitude latitude time height2m,hurs,real,,XY-na,time-intv,E1hr,hurs,hurs,tavg-h2m-hxy-u,hurs_tavg-h2m-hxy-u,30S-90S,E1hr.hursSouth30,atmos.hurs.tavg-h2m-hxy-u.1hr.30S-90S,80ac3193-a698-11ef-914a-613c0433d878,high
26,atmos.hurs.tavg-h2m-hxy-u.1hr.glb,1hr,atmos,relative_humidity,%,area: time: mean,area: areacella,Near-Surface Relative Humidity,Relative humidity at 2m above the surface,,longitude latitude time height2m,hurs,real,,XY-na,time-intv,E1hr,hurs,hurs,tavg-h2m-hxy-u,hurs_tavg-h2m-hxy-u,glb,E1hr.hurs,atmos.hurs.tavg-h2m-hxy-u.1hr.glb,83bbfbc7-7f07-11ef-9308-b1dd71e64bec,medium
30,atmos.hurs.tmin-h2m-hxy-crp.day.glb,day,atmos,relative_humidity,%,area: mean where crops time: minimum,area: areacella,Daily Minimum Near-Surface Relative Humidity over Crop Tile,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",,longitude latitude time height2m,hurs,real,,XY-na,time-intv,Eday,hursminCrop,hurs,tmin-h2m-hxy-crp,hurs_tmin-h2m-hxy-crp,glb,Eday.hursminCrop,atmos.hurs.tmin-h2m-hxy-crp.day.glb,f32a8460-c38d-11e6-abc1-1b922e5e1118,low
32,atmos.hurs.tpt-h2m-hxy-u.3hr.glb,3hr,atmos,relative_humidity,%,area: mean time: point,area: areacella,Near-Surface Relative Humidity,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","express as a percentage.  Normally, the relative humidity  should be reported at the 2 meter height",longitude latitude time1 height2m,hurs,real,,XY-na,time-point,CF3hr,hurs,hurs,tpt-h2m-hxy-u,hurs_tpt-h2m-hxy-u,glb,CF3hr.hurs,atmos.hurs.tpt-h2m-hxy-u.3hr.glb,edbcefb6-4b7f-11e7-903f-5404a60d96b5,high
39,atmos.noaahi2m.tavg-h2m-hxy-u.day.glb,day,atmos,heat_index_of_air_temperature,degC,area: time: mean,area: areacella,mean 2m daily NOAA heat index,"mean 2m daily NOAA heat index.
The perceived air temperature when relative humidity is taken into consideration (which makes it feel hotter than the actual air temperature).
The heat index is only defined when the ambient air temperature is at or above 299.817 K.
NOAA heat index = -42.379 + 2.04901523(T) + 10.14333127(R) - 0.22475541(T)(R) - 6.83783e-3 sqr(T) - 5.481717e-2 sqr(R) + 1.22874e-3 sqr(T) (R) + 8.5282e-4 (T) sqr(R) - 1.99e-6 sqr(T) sqr(R)
where T is 2 m temperature (degrees F), R is relative humidity (%)","NOAA heat index = -42.379 + 2.04901523T + 10.14333127R - 0.22475541TR - 6.83783 x 10-3T2 - 5.481717 x 10-2R2 + 1.22874 x 10-3T2R + 8.5282 x 10-4TR2 - 1.99 x 10-6T2R2
where T is 2 m temperature (degrees F), R is relative humidity (%).
Heat index is only defined when the ambient air temperature is at or above 299.817 K.",longitude latitude time height2m,noaahi2m,real,,XY-na,time-intv,day,noaahi2m,noaahi2m,tavg-h2m-hxy-u,noaahi2m_tavg-h2m-hxy-u,glb,day.noaahi2m,atmos.noaahi2m.tavg-h2m-hxy-u.day.glb,83bbfbd5-7f07-11ef-9308-b1dd71e64bec,medium
40,atmos.noaahi2m.tmax-h2m-hxy-u.day.glb,day,atmos,heat_index_of_air_temperature,degC,area: mean time: maximum,area: areacella,max 2m daily NOAA heat index,"max 2m daily NOAA heat index 
The perceived air temperature when relative humidity is taken into consideration (which makes it feel hotter than the actual air temperature).
The heat index is only defined when the ambient air temperature is at or above 299.817 K.
NOAA heat index = -42.379 + 2.04901523(T) + 10.14333127(R) - 0.22475541(T)(R) - 6.83783e-3 sqr(T) - 5.481717e-2 sqr(R) + 1.22874e-3 sqr(T) (R) + 8.5282e-4 (T) sqr(R) - 1.99e-6 sqr(T) sqr(R)
where T is 2 m temperature (degrees F), R is relative humidity (%)","NOAA heat index = -42.379 + 2.04901523T + 10.14333127R - 0.22475541TR - 6.83783 x 10-3T2 - 5.481717 x 10-2R2 + 1.22874 x 10-3T2R + 8.5282 x 10-4TR2 - 1.99 x 10-6T2R2
where T is 2 m temperature (degrees F), R is relative humidity (%).
The heat index is only defined when the ambient air temperature is at or above 299.817 K.",longitude latitude time height2m,noaahi2m,real,,XY-na,time-intv,day,noaahi2mmax,noaahi2m,tmax-h2m-hxy-u,noaahi2m_tmax-h2m-hxy-u,glb,day.noaahi2mmax,atmos.noaahi2m.tmax-h2m-hxy-u.day.glb,83bbfbd4-7f07-11ef-9308-b1dd71e64bec,medium
