,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority
130,land.areacellr.ti-u-hxy-u.fx.glb,fx,land,cell_area,m2,area: sum,,Grid-Cell Area for River Model Variables,"Cell areas for any grid used to report river model variables (may be the same as for atmospheric variables). These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).",,longitude latitude,areacellr,real,,XY-na,None,fx,areacellr,areacellr,ti-u-hxy-u,areacellr_ti-u-hxy-u,glb,fx.areacellr,land.areacellr.ti-u-hxy-u.fx.glb,8306180c-76ca-11e7-ba39-ac72891c3257,high
131,land.c3PftFrac.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Percentage Cover by C3 Plant Functional Type,"Percentage of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).","Note that if this variable is independent of time, it should be stored only for a single time (user choice). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typec3pft,c3PftFrac,real,,XY-na,time-intv,Lmon,c3PftFrac,c3PftFrac,tavg-u-hxy-u,c3PftFrac_tavg-u-hxy-u,glb,Lmon.c3PftFrac,land.c3PftFrac.tavg-u-hxy-u.mon.glb,baa897e6-e5dd-11e5-8482-ac72891c3257,low
132,land.c4PftFrac.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Percentage Cover by C4 Plant Functional Type,Percentage of entire grid cell  that is covered by C4 PFTs (including grass and crops).,"Note that if this variable is independent of time, it should be stored only for a single time (user choice). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typec4pft,c4PftFrac,real,,XY-na,time-intv,Lmon,c4PftFrac,c4PftFrac,tavg-u-hxy-u,c4PftFrac_tavg-u-hxy-u,glb,Lmon.c4PftFrac,land.c4PftFrac.tavg-u-hxy-u.mon.glb,baa89f8e-e5dd-11e5-8482-ac72891c3257,low
133,land.cropFracC3.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Percentage Cover by C3 Crops,Percentage of entire grid cell covered by C3 crops,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typec3crop,cropFracC3,real,,XY-na,time-intv,Emon,cropFracC3,cropFracC3,tavg-u-hxy-u,cropFracC3_tavg-u-hxy-u,glb,Emon.cropFracC3,land.cropFracC3.tavg-u-hxy-u.mon.glb,8b81522c-4a5b-11e6-9cd2-ac72891c3257,medium
134,land.cropFracC4.tavg-u-hxy-u.mon.glb,mon,land,area_fraction,%,area: time: mean,area: areacella,Percentage Cover by C4 Crops,Percentage of entire grid cell covered by C4 crops,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typec4crop,cropFracC4,real,,XY-na,time-intv,Emon,cropFracC4,cropFracC4,tavg-u-hxy-u,cropFracC4_tavg-u-hxy-u,glb,Emon.cropFracC4,land.cropFracC4.tavg-u-hxy-u.mon.glb,6f6a8ea8-9acb-11e6-b7ee-ac72891c3257,medium
136,land.dcw.tavg-u-hxy-lnd.day.glb,day,land,change_over_time_in_canopy_water_amount,kg m-2,area: mean where land time: mean,area: areacella,Change in Interception Storage,change_over_time_in_canopy_water_amount,,longitude latitude time,dcw,real,,XY-na,time-intv,Eday,dcw,dcw,tavg-u-hxy-lnd,dcw_tavg-u-hxy-lnd,glb,Eday.dcw,land.dcw.tavg-u-hxy-lnd.day.glb,d2287216-4a9f-11e6-b84e-ac72891c3257,high
137,land.dslw.tavg-u-hxy-lnd.day.glb,day,land,change_over_time_in_mass_content_of_water_in_soil,kg m-2,area: mean where land time: mean,area: areacella,Change in Soil Moisture,Change in Soil Moisture,,longitude latitude time,dslw,real,,XY-na,time-intv,Eday,dslw,dslw,tavg-u-hxy-lnd,dslw_tavg-u-hxy-lnd,glb,Eday.dslw,land.dslw.tavg-u-hxy-lnd.day.glb,d2286460-4a9f-11e6-b84e-ac72891c3257,high
141,land.irrDem.tavg-u-hxy-u.day.glb,day,land,surface_downward_mass_flux_of_water_due_to_irrigation,kg m-2 s-1,area: time: mean,area: areacella,irrigation water demand,the total amount of irrigation water demand,,longitude latitude time,irrDem,real,,XY-na,time-intv,day,irrDem,irrDem,tavg-u-hxy-u,irrDem_tavg-u-hxy-u,glb,day.irrDem,land.irrDem.tavg-u-hxy-u.day.glb,80ab7437-a698-11ef-914a-613c0433d878,medium
142,land.irrGw.tavg-u-hxy-u.day.glb,day,land,surface_downward_mass_flux_of_water_due_to_irrigation,kg m-2 s-1,area: time: mean,area: areacella,irrigation water withdrawal from groundwater,"the amount of water withdrawal for irrigation from ground water, including deep soil water, confined and unconfined aquifer, etc",,longitude latitude time,irrGw,real,,XY-na,time-intv,day,irrGw,irrGw,tavg-u-hxy-u,irrGw_tavg-u-hxy-u,glb,day.irrGw,land.irrGw.tavg-u-hxy-u.day.glb,80ab7439-a698-11ef-914a-613c0433d878,medium
144,land.irrLut.tavg-u-hxy-u.day.glb,day,land,surface_downward_mass_flux_of_water_due_to_irrigation,kg m-2 s-1,area: time: mean,area: areacella,irrigation water withdrawal,the total amount of water withdrawal from multiple sources,,longitude latitude time,irrLut,real,,XY-na,time-intv,day,irrLut,irrLut,tavg-u-hxy-u,irrLut_tavg-u-hxy-u,glb,day.irrLut,land.irrLut.tavg-u-hxy-u.day.glb,80ab7436-a698-11ef-914a-613c0433d878,medium
