,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
321,seaIce.rlds.tavg-u-hxy-si.mon.glb,mon,seaIce,surface_downwelling_longwave_flux_in_air,W m-2,area: time: mean where sea_ice (mask=siconca),area: areacella,Downwelling Longwave Flux over Sea Ice,Downwelling longwave flux from the atmosphere to the sea-ice surface (energy flow per sea ice area). Always positive or zero.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc)",longitude latitude time,rlds,real,down,XY-na,time-intv,SImon,sifllwdtop,rlds,tavg-u-hxy-si,rlds_tavg-u-hxy-si,glb,SImon.sifllwdtop,seaIce.rlds.tavg-u-hxy-si.mon.glb,710a7534-faa7-11e6-bfb7-ac72891c3257,high,,
322,seaIce.rlus.tavg-u-hxy-si.mon.glb,mon,seaIce,surface_upwelling_longwave_flux_in_air,W m-2,area: time: mean where sea_ice (mask=siconca),area: areacella,Upwelling Longwave Flux over Sea Ice,Upward longwave flux from the sea-ice surface to the atmosphere (energy flow per sea ice area). Always positive or zero.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc)",longitude latitude time,rlus,real,up,XY-na,time-intv,SImon,sifllwutop,rlus,tavg-u-hxy-si,rlus_tavg-u-hxy-si,glb,SImon.sifllwutop,seaIce.rlus.tavg-u-hxy-si.mon.glb,71460f22-faa7-11e6-bfb7-ac72891c3257,high,,
323,seaIce.rsds.tavg-u-hxy-si.day.glb,day,seaIce,surface_downwelling_shortwave_flux_in_air,W m-2,area: time: mean where sea_ice (mask=siconca),area: areacella,Downwelling Shortwave Flux over Sea Ice,Downwelling shortwave flux from the atmosphere to the sea-ice surface (energy flow per sea ice area). Always positive or zero.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",longitude latitude time,rsds,real,down,XY-na,time-intv,SIday,siflswdtop,rsds,tavg-u-hxy-si,rsds_tavg-u-hxy-si,glb,SIday.siflswdtop,seaIce.rsds.tavg-u-hxy-si.day.glb,83bbfb3b-7f07-11ef-9308-b1dd71e64bec,high,,
324,seaIce.rsds.tavg-u-hxy-si.mon.glb,mon,seaIce,surface_downwelling_shortwave_flux_in_air,W m-2,area: time: mean where sea_ice (mask=siconca),area: areacella,Downwelling Shortwave Flux over Sea Ice,Downwelling shortwave flux from the atmosphere to the sea-ice surface (energy flow per sea ice area). Always positive or zero.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc)",longitude latitude time,rsds,real,down,XY-na,time-intv,SImon,siflswdtop,rsds,tavg-u-hxy-si,rsds_tavg-u-hxy-si,glb,SImon.siflswdtop,seaIce.rsds.tavg-u-hxy-si.mon.glb,713bf6d6-faa7-11e6-bfb7-ac72891c3257,high,,
325,seaIce.rsus.tavg-u-hxy-si.day.glb,day,seaIce,surface_upwelling_shortwave_flux_in_air,W m-2,area: time: mean where sea_ice (mask=siconca),area: areacella,Upwelling Shortwave Flux over Sea Ice,Upward shortwave flux from the sea-ice surface to the atmosphere (energy flow per sea ice area). Always positive or zero.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",longitude latitude time,rsus,real,up,XY-na,time-intv,SIday,siflswutop,rsus,tavg-u-hxy-si,rsus_tavg-u-hxy-si,glb,SIday.siflswutop,seaIce.rsus.tavg-u-hxy-si.day.glb,83bbfb3a-7f07-11ef-9308-b1dd71e64bec,high,,
326,seaIce.rsus.tavg-u-hxy-si.mon.glb,mon,seaIce,surface_upwelling_shortwave_flux_in_air,W m-2,area: time: mean where sea_ice (mask=siconca),area: areacella,Upwelling Shortwave Flux over Sea Ice,Upward shortwave flux from the sea-ice surface to the atmosphere (energy flow per sea ice area). Always positive or zero.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc)",longitude latitude time,rsus,real,up,XY-na,time-intv,SImon,siflswutop,rsus,tavg-u-hxy-si,rsus_tavg-u-hxy-si,glb,SImon.siflswutop,seaIce.rsus.tavg-u-hxy-si.mon.glb,710ad164-faa7-11e6-bfb7-ac72891c3257,high,,
327,seaIce.sbl.tavg-u-hxy-si.mon.glb,mon,seaIce,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,area: time: mean where sea_ice (mask=siconc),area: areacello,Snow Mass Rate of Change Through Evaporation or Sublimation,"Rate of change of snow mass through sublimation divided by grid-cell area. If a model does not differentiate between the sublimation of snow and sea ice, we recommend to report all sublimation within sisndmasssubl as long as the ice is snow covered.","CHANGE SINCE CMIP6: compound name,",longitude latitude time,sbl,real,,XY-na,time-intv,SImon,sisndmasssubl,sbl,tavg-u-hxy-si,sbl_tavg-u-hxy-si,glb,SImon.sisndmasssubl,seaIce.sbl.tavg-u-hxy-si.mon.glb,712fc2da-faa7-11e6-bfb7-ac72891c3257,high,,
328,seaIce.sfdsi.tavg-u-hxy-si.mon.glb,mon,seaIce,downward_sea_ice_basal_salt_flux,kg m-2 s-1,area: time: mean where sea_ice (mask=siconc),area: areacello,Salt Flux from Sea Ice,Total flux of salt from water into sea ice. This flux is upward (negative) during ice growth when salt is embedded into the ice and downward (positive) during melt when salt from sea ice is again released to the ocean.,"Identical to the now-deprecated CMIP6 variable SImon.sfdsi
Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",longitude latitude time,sfdsi,real,down,XY-na,time-intv,SImon,siflsaltbot,sfdsi,tavg-u-hxy-si,sfdsi_tavg-u-hxy-si,glb,SImon.siflsaltbot,seaIce.sfdsi.tavg-u-hxy-si.mon.glb,83bbfb25-7f07-11ef-9308-b1dd71e64bec,medium,,
329,seaIce.siage.tavg-u-hxy-si.day.glb,day,seaIce,age_of_sea_ice,s,area: time: mean where sea_ice (mask=siconc),area: areacello,Age of Sea Ice,Age of sea ice since its formation in open water.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",longitude latitude time,siage,real,,XY-na,time-intv,SIday,siage,siage,tavg-u-hxy-si,siage_tavg-u-hxy-si,glb,SIday.siage,seaIce.siage.tavg-u-hxy-si.day.glb,83bbfb48-7f07-11ef-9308-b1dd71e64bec,high,,
330,seaIce.siage.tavg-u-hxy-si.mon.glb,mon,seaIce,age_of_sea_ice,s,area: time: mean where sea_ice (mask=siconc),area: areacello,Age of Sea Ice,Age of sea ice since its formation in open water.,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",longitude latitude time,siage,real,,XY-na,time-intv,SImon,siage,siage,tavg-u-hxy-si,siage_tavg-u-hxy-si,glb,SImon.siage,seaIce.siage.tavg-u-hxy-si.mon.glb,712ebec6-faa7-11e6-bfb7-ac72891c3257,medium,,
