,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
31,atmos.hfdsnb.tavg-u-hxy-lnd.day.glb,day,atmos,downward_heat_flux_at_ground_level_in_snow,W m-2,area: mean where land time: mean,area: areacella,Downward Heat Flux at Snow Base,Downward heat flux at snow botton,,longitude latitude time,hfdsnb,real,down,XY-na,time-intv,Eday,hfdsnb,hfdsnb,tavg-u-hxy-lnd,hfdsnb_tavg-u-hxy-lnd,glb,Eday.hfdsnb,atmos.hfdsnb.tavg-u-hxy-lnd.day.glb,f2fb0ac8-c38d-11e6-abc1-1b922e5e1118,medium,,
32,atmos.hfls.tavg-u-hxy-u.3hr.glb,3hr,atmos,surface_upward_latent_heat_flux,W m-2,area: time: mean,area: areacella,Surface Upward Latent Heat Flux,This is the 3-hour mean flux.,,longitude latitude time,hfls,real,up,XY-na,time-intv,3hr,hfls,hfls,tavg-u-hxy-u,hfls_tavg-u-hxy-u,glb,3hr.hfls,atmos.hfls.tavg-u-hxy-u.3hr.glb,baaefbcc-e5dd-11e5-8482-ac72891c3257,high,,
34,atmos.hfss.tavg-u-hxy-u.3hr.glb,3hr,atmos,surface_upward_sensible_heat_flux,W m-2,area: time: mean,area: areacella,Surface Upward Sensible Heat Flux,This is the 3-hour mean flux.,,longitude latitude time,hfss,real,up,XY-na,time-intv,3hr,hfss,hfss,tavg-u-hxy-u,hfss_tavg-u-hxy-u,glb,3hr.hfss,atmos.hfss.tavg-u-hxy-u.3hr.glb,baaf8452-e5dd-11e5-8482-ac72891c3257,high,,
42,atmos.hus.tpt-p6-hxy-air.3hr.glb,3hr,atmos,specific_humidity,1,area: mean where air time: point,area: areacella,Specific humidity,Specific humidity on 6 pressure levels in the lower troposphere,950 hPa to 700 hPa with an interval of 50h Pa for vertical layers (6 vertical layers),longitude latitude plev6 time1,hus,real,,XY-P6,time-point,E3hrPt,hus6,hus,tpt-p6-hxy-air,hus_tpt-p6-hxy-air,glb,E3hrPt.hus6,atmos.hus.tpt-p6-hxy-air.3hr.glb,80ab7430-a698-11ef-914a-613c0433d878,medium,,
55,atmos.prrsn.tavg-u-hxy-lnd.day.glb,day,atmos,mass_fraction_of_rainfall_falling_onto_surface_snow,1,area: mean where land time: mean,area: areacella,Fraction of Rainfall on Snow,mass_fraction_of_rainfall_onto_snow,,longitude latitude time,prrsn,real,,XY-na,time-intv,Eday,prrsn,prrsn,tavg-u-hxy-lnd,prrsn_tavg-u-hxy-lnd,glb,Eday.prrsn,atmos.prrsn.tavg-u-hxy-lnd.day.glb,d228be24-4a9f-11e6-b84e-ac72891c3257,medium,,
57,atmos.prsn.tavg-u-hxy-u.6hr.glb,6hr,atmos,snowfall_flux,kg m-2 s-1,area: time: mean,area: areacella,Snowfall Flux,Precipitation rate at surface: Includes precipitation of all forms of water in the solid phase.,,longitude latitude time,prsn,real,,XY-na,time-intv,6hrPlev,prsn,prsn,tavg-u-hxy-u,prsn_tavg-u-hxy-u,glb,6hrPlev.prsn,atmos.prsn.tavg-u-hxy-u.6hr.glb,83bbfc5b-7f07-11ef-9308-b1dd71e64bec,high,,
60,atmos.prsnc.tavg-u-hxy-lnd.day.glb,day,atmos,convective_snowfall_flux,kg m-2 s-1,area: mean where land time: mean,area: areacella,Convective Snowfall Flux,convective_snowfall_flux,,longitude latitude time,prsnc,real,,XY-na,time-intv,Eday,prsnc,prsnc,tavg-u-hxy-lnd,prsnc_tavg-u-hxy-lnd,glb,Eday.prsnc,atmos.prsnc.tavg-u-hxy-lnd.day.glb,d2280a56-4a9f-11e6-b84e-ac72891c3257,medium,,
61,atmos.prsnsn.tavg-u-hxy-lnd.day.glb,day,atmos,mass_fraction_of_solid_precipitation_falling_onto_surface_snow,1,area: mean where land time: mean,area: areacella,Fraction of Snowfall (Including Hail and Graupel) on Snow,mass_fraction_of_snowfall_onto_snow,,longitude latitude time,prsnsn,real,,XY-na,time-intv,Eday,prsnsn,prsnsn,tavg-u-hxy-lnd,prsnsn_tavg-u-hxy-lnd,glb,Eday.prsnsn,atmos.prsnsn.tavg-u-hxy-lnd.day.glb,d228c2ca-4a9f-11e6-b84e-ac72891c3257,medium,,
65,atmos.ps.tpt-u-hxy-u.3hr.glb,3hr,atmos,surface_air_pressure,Pa,area: mean time: point,area: areacella,Surface Air Pressure,"sampled synoptically to diagnose atmospheric tides, this is better than mean sea level pressure.",,longitude latitude time1,ps,real,,XY-na,time-point,3hr,ps,ps,tpt-u-hxy-u,ps_tpt-u-hxy-u,glb,3hr.ps,atmos.ps.tpt-u-hxy-u.3hr.glb,bab47354-e5dd-11e5-8482-ac72891c3257,high,,
69,atmos.rlds.tavg-u-hxy-u.3hr.glb,3hr,atmos,surface_downwelling_longwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Downwelling Longwave Radiation,This is the 3-hour mean flux.,,longitude latitude time,rlds,real,down,XY-na,time-intv,3hr,rlds,rlds,tavg-u-hxy-u,rlds_tavg-u-hxy-u,glb,3hr.rlds,atmos.rlds.tavg-u-hxy-u.3hr.glb,bab52b5a-e5dd-11e5-8482-ac72891c3257,high,,
