,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
127,land.baresoilFrac.tavg-u-hxy-u.yr.glb,yr,land,area_fraction,%,area: time: mean,area: areacella,Bare Soil Percentage Area Coverage,Percentage of entire grid cell  that is covered by bare soil.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typebare,baresoilFrac,real,,XY-na,time-intv,Eyr,baresoilFrac,baresoilFrac,tavg-u-hxy-u,baresoilFrac_tavg-u-hxy-u,glb,Eyr.baresoilFrac,land.baresoilFrac.tavg-u-hxy-u.yr.glb,fb018658-be37-11e6-bac1-5404a60d96b5,medium,,
132,land.cLitterLut.tpt-u-hxy-multi.yr.glb,yr,land,litter_mass_content_of_carbon,kg m-2,area: mean where sector time: point,area: areacella,Carbon  in Above and Below-Ground Litter Pools on Land-Use Tiles,end of year values (not annual mean),"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",longitude latitude landuse time1,cLitterLut,real,,XY-na,time-point,Eyr,cLitterLut,cLitterLut,tpt-u-hxy-multi,cLitterLut_tpt-u-hxy-multi,glb,Eyr.cLitterLut,land.cLitterLut.tpt-u-hxy-multi.yr.glb,d22e279c-4a9f-11e6-b84e-ac72891c3257,medium,,
134,land.cProductLut.tpt-u-hxy-multi.yr.glb,yr,land,carbon_mass_content_of_forestry_and_agricultural_products,kg m-2,area: mean where sector time: point,area: areacella,Wood and Agricultural Product Pool Carbon Associated with Land-Use Tiles,"Anthropogenic pools associated with land use tiles into which harvests and cleared carbon are deposited before release into atmosphere PLUS any remaining anthropogenic pools that may be associated with lands which were converted into land use tiles during reported period. Examples of products include paper, cardboard, timber for construction, and crop harvest for food or fuel. Does NOT include residue which is deposited into soil or litter; end of year values (not annual mean).","CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",longitude latitude landuse time1,cProductLut,real,,XY-na,time-point,Eyr,cProductLut,cProductLut,tpt-u-hxy-multi,cProductLut_tpt-u-hxy-multi,glb,Eyr.cProductLut,land.cProductLut.tpt-u-hxy-multi.yr.glb,3e26d502-b89b-11e6-be04-ac72891c3257,medium,,
137,land.cropFrac.tavg-u-hxy-u.yr.glb,yr,land,area_fraction,%,area: time: mean,area: areacella,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",longitude latitude time typecrop,cropFrac,real,,XY-na,time-intv,Eyr,cropFrac,cropFrac,tavg-u-hxy-u,cropFrac_tavg-u-hxy-u,glb,Eyr.cropFrac,land.cropFrac.tavg-u-hxy-u.yr.glb,fb017ce4-be37-11e6-bac1-5404a60d96b5,medium,,
139,land.cSoilLut.tpt-u-hxy-multi.yr.glb,yr,land,soil_mass_content_of_carbon,kg m-2,area: mean where sector time: point,area: areacella,Carbon in Soil Pool on Land-Use Tiles,end of year values (not annual mean),"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",longitude latitude landuse time1,cSoilLut,real,,XY-na,time-point,Eyr,cSoilLut,cSoilLut,tpt-u-hxy-multi,cSoilLut_tpt-u-hxy-multi,glb,Eyr.cSoilLut,land.cSoilLut.tpt-u-hxy-multi.yr.glb,d22e1ea0-4a9f-11e6-b84e-ac72891c3257,medium,,
142,land.cVegLut.tpt-u-hxy-multi.yr.glb,yr,land,vegetation_carbon_content,kg m-2,area: mean where sector time: point,area: areacella,Carbon in Vegetation on Land-Use Tiles,end of year values (not annual mean),"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",longitude latitude landuse time1,cVegLut,real,,XY-na,time-point,Eyr,cVegLut,cVegLut,tpt-u-hxy-multi,cVegLut_tpt-u-hxy-multi,glb,Eyr.cVegLut,land.cVegLut.tpt-u-hxy-multi.yr.glb,d22e2328-4a9f-11e6-b84e-ac72891c3257,medium,,
144,land.dgw.tavg-u-hxy-lnd.day.glb,day,land,change_over_time_in_groundwater_amount,kg m-2,area: mean where land time: mean,area: areacellr,Change in Groundwater,change_over_time_in_groundwater,,longitude latitude time,dgw,real,,XY-na,time-intv,Eday,dgw,dgw,tavg-u-hxy-lnd,dgw_tavg-u-hxy-lnd,glb,Eday.dgw,land.dgw.tavg-u-hxy-lnd.day.glb,d2287694-4a9f-11e6-b84e-ac72891c3257,medium,,
145,land.drivw.tavg-u-hxy-lnd.day.glb,day,land,change_over_time_in_river_water_amount,kg m-2,area: mean where land time: mean,area: areacellr,Change in River Storage,Change in River Storage,,longitude latitude time,drivw,real,,XY-na,time-intv,Eday,drivw,drivw,tavg-u-hxy-lnd,drivw_tavg-u-hxy-lnd,glb,Eday.drivw,land.drivw.tavg-u-hxy-lnd.day.glb,d2287b08-4a9f-11e6-b84e-ac72891c3257,medium,,
146,land.dsn.tavg-u-hxy-lnd.day.glb,day,land,change_over_time_in_amount_of_ice_and_snow_on_land,kg m-2,area: mean where land time: mean,area: areacella,Change in Snow Water Equivalent,Change in Snow Water Equivalent,,longitude latitude time,dsn,real,,XY-na,time-intv,Eday,dsn,dsn,tavg-u-hxy-lnd,dsn_tavg-u-hxy-lnd,glb,Eday.dsn,land.dsn.tavg-u-hxy-lnd.day.glb,d22868f2-4a9f-11e6-b84e-ac72891c3257,medium,,
147,land.dsw.tavg-u-hxy-lnd.day.glb,day,land,change_over_time_in_land_water_amount,kg m-2,area: mean where land time: mean,area: areacella,Change in Surface Water Storage,Change in Surface Water Storage,,longitude latitude time,dsw,real,,XY-na,time-intv,Eday,dsw,dsw,tavg-u-hxy-lnd,dsw_tavg-u-hxy-lnd,glb,Eday.dsw,land.dsw.tavg-u-hxy-lnd.day.glb,d2286d84-4a9f-11e6-b84e-ac72891c3257,medium,,
