,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority,flag_values,flag_meanings
243,landIce.agesno.tavg-u-hxy-lnd.mon.glb,mon,landIce land,age_of_surface_snow,day,area: mean where land time: mean (weighted by snow mass on land),area: areacella,Mean Age of Snow,"When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing in regions free of snow on land.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land time: mean (with samples weighted by snow mass) CMIP7:area: mean where land time: mean (weighted by snow mass on land),",longitude latitude time,agesno,real,,XY-na,time-intv,LImon,agesno,agesno,tavg-u-hxy-lnd,agesno_tavg-u-hxy-lnd,glb,LImon.agesno,landIce.agesno.tavg-u-hxy-lnd.mon.glb,baa7f8ae-e5dd-11e5-8482-ac72891c3257,medium,,
244,landIce.hfdsn.tavg-u-hxy-lnd.day.glb,day,landIce land,surface_downward_heat_flux_in_snow,W m-2,area: mean where land time: mean,area: areacella,Downward Heat Flux into Snow Where Land over Land,Downward heat flux at snow top,,longitude latitude time,hfdsn,real,down,XY-na,time-intv,Eday,hfdsn,hfdsn,tavg-u-hxy-lnd,hfdsn_tavg-u-hxy-lnd,glb,Eday.hfdsn,landIce.hfdsn.tavg-u-hxy-lnd.day.glb,d2279224-4a9f-11e6-b84e-ac72891c3257,medium,,
245,landIce.hfdsn.tavg-u-hxy-lnd.mon.glb,mon,landIce land,surface_downward_heat_flux_in_snow,W m-2,area: mean where land time: mean,area: areacella,Downward Heat Flux into Snow Where Land over Land,the net downward heat flux from the atmosphere into the snow that lies on land divided by the land area in the grid cell; reported as missing for snow-free land regions or where the land fraction is 0.,,longitude latitude time,hfdsn,real,down,XY-na,time-intv,LImon,hfdsn,hfdsn,tavg-u-hxy-lnd,hfdsn_tavg-u-hxy-lnd,glb,LImon.hfdsn,landIce.hfdsn.tavg-u-hxy-lnd.mon.glb,baaed890-e5dd-11e5-8482-ac72891c3257,high,,
246,landIce.lwsnl.tavg-u-hxy-lnd.day.glb,day,landIce land,liquid_water_content_of_surface_snow,kg m-2,area: mean where land time: mean,area: areacella,Liquid Water Content of Snow Layer,liquid_water_content_of_snow_layer,,longitude latitude time,lwsnl,real,,XY-na,time-intv,Eday,lwsnl,lwsnl,tavg-u-hxy-lnd,lwsnl_tavg-u-hxy-lnd,glb,Eday.lwsnl,landIce.lwsnl.tavg-u-hxy-lnd.day.glb,d228925a-4a9f-11e6-b84e-ac72891c3257,medium,,
247,landIce.lwsnl.tavg-u-hxy-lnd.mon.glb,mon,landIce land,liquid_water_content_of_surface_snow,kg m-2,area: mean where land time: mean,area: areacella,Liquid Water Content of Snow Layer,where land over land: this is computed as the total mass of liquid water contained interstitially within the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.,,longitude latitude time,lwsnl,real,,XY-na,time-intv,LImon,lwsnl,lwsnl,tavg-u-hxy-lnd,lwsnl_tavg-u-hxy-lnd,glb,LImon.lwsnl,landIce.lwsnl.tavg-u-hxy-lnd.mon.glb,bab0f1a2-e5dd-11e5-8482-ac72891c3257,medium,,
249,landIce.pflw.tavg-u-hxy-lnd.day.glb,day,landIce land,liquid_water_content_of_permafrost_layer,kg m-2,area: mean where land time: mean,area: areacella,Liquid Water Content of Permafrost Layer,liquid_water_content_of_permafrost_layer,,longitude latitude time,pflw,real,,XY-na,time-intv,Eday,pflw,pflw,tavg-u-hxy-lnd,pflw_tavg-u-hxy-lnd,glb,Eday.pflw,landIce.pflw.tavg-u-hxy-lnd.day.glb,d228ee4e-4a9f-11e6-b84e-ac72891c3257,medium,,
250,landIce.pflw.tavg-u-hxy-lnd.mon.glb,mon,landIce land,liquid_water_content_of_permafrost_layer,kg m-2,area: mean where land time: mean,area: areacella,Liquid Water Content of Permafrost Layer,"""where land over land"", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.",,longitude latitude time,pflw,real,,XY-na,time-intv,LImon,pflw,pflw,tavg-u-hxy-lnd,pflw_tavg-u-hxy-lnd,glb,LImon.pflw,landIce.pflw.tavg-u-hxy-lnd.mon.glb,bab323d2-e5dd-11e5-8482-ac72891c3257,high,,
256,landIce.snd.tavg-u-hxy-lnd.day.glb,day,landIce land,surface_snow_thickness,m,area: mean where land time: mean,area: areacella,Snow Depth,"where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as 0.0 where the land fraction is 0.",,longitude latitude time,snd,real,,XY-na,time-intv,Eday,snd,snd,tavg-u-hxy-lnd,snd_tavg-u-hxy-lnd,glb,Eday.snd,landIce.snd.tavg-u-hxy-lnd.day.glb,b7ccdf0a-7c00-11e6-bcdf-ac72891c3257,medium,,
258,landIce.snm.tavg-u-hxy-lnd.day.glb,day,landIce land,surface_snow_melt_flux,kg m-2 s-1,area: mean where land time: mean,area: areacella,Surface Snow Melt,surface_snow_and_ice_melt_flux,,longitude latitude time,snm,real,,XY-na,time-intv,Eday,snm,snm,tavg-u-hxy-lnd,snm_tavg-u-hxy-lnd,glb,Eday.snm,landIce.snm.tavg-u-hxy-lnd.day.glb,d22848ea-4a9f-11e6-b84e-ac72891c3257,medium,,
262,landIce.sootsn.tavg-u-hxy-lnd.mon.glb,mon,landIce land,soot_content_of_surface_snow,kg m-2,area: mean where land time: mean,area: areacella,Snow Soot Content,"the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.",,longitude latitude time,sootsn,real,,XY-na,time-intv,LImon,sootsn,sootsn,tavg-u-hxy-lnd,sootsn_tavg-u-hxy-lnd,glb,LImon.sootsn,landIce.sootsn.tavg-u-hxy-lnd.mon.glb,bab83fc0-e5dd-11e5-8482-ac72891c3257,high,,
